Unnamed: 0,NYG,MIN
First Downs,19,15
Rush-Yds-TDs,30-135-0,27-110-1
Cmp-Att-Yd-TD-INT,19-30-229-1-0,16-26-239-1-1
Sacked-Yards,2-7,2-21
Net Pass Yards,222,218
Total Yards,357,328
Fumbles-Lost,0-0,1-0
Turnovers,0,1
Penalties-Yards,7-49,2-20
Third Down Conv.,4-12,7-13
Fourth Down Conv.,0-0,0-1
Time of Possession,34:19,25:41
