Quarter,Time,Tm,Detail,NYG,MIN
2.0,14:52,Vikings,Ryan Longwell 48 yard field goal,0,3
,11:22,Vikings,Adrian Peterson 67 yard rush (Ryan Longwell kick),0,10
,9:30,Giants,John Carney 51 yard field goal,3,10
,1:03,Giants,John Carney 30 yard field goal,6,10
,0:00,Giants,John Carney 42 yard field goal,9,10
3.0,9:29,Giants,Domenik Hixon 23 yard pass from David Carr (John Carney kick),16,10
4.0,11:22,Giants,John Carney 20 yard field goal,19,10
,9:26,Vikings,Bernard Berrian 54 yard pass from Tarvaris Jackson (Ryan Longwell kick),19,17
,0:00,Vikings,Ryan Longwell 50 yard field goal,19,20
