Unnamed: 0,GNB,STL
First Downs,17,21
Rush-Yds-TDs,23-52-1,31-173-1
Cmp-Att-Yd-TD-INT,19-30-225-2-2,20-39-219-1-2
Sacked-Yards,0-0,4-28
Net Pass Yards,225,191
Total Yards,277,364
Fumbles-Lost,1-1,1-0
Turnovers,3,2
Penalties-Yards,6-35,13-93
Third Down Conv.,5-11,6-15
Fourth Down Conv.,0-0,1-3
Time of Possession,23:36,36:24
