Quarter,Time,Tm,Detail,NYJ,NWE
1.0,13:31,Patriots,Shane Vereen 49 yard pass from Tom Brady (Stephen Gostkowski kick),0,7
,6:29,Jets,Nick Folk 22 yard field goal,3,7
,0:19,Jets,Nick Folk 47 yard field goal,6,7
2.0,7:52,Jets,Nick Folk 46 yard field goal,9,7
,4:22,Patriots,Shane Vereen 3 yard pass from Tom Brady (Stephen Gostkowski kick),9,14
,1:01,Jets,Nick Folk 27 yard field goal,12,14
,0:00,Patriots,Stephen Gostkowski 39 yard field goal,12,17
3.0,8:58,Jets,Chris Ivory 1 yard rush (Nick Folk kick),19,17
,4:10,Patriots,Stephen Gostkowski 36 yard field goal,19,20
4.0,7:49,Patriots,Danny Amendola 19 yard pass from Tom Brady (Stephen Gostkowski kick),19,27
,2:31,Jets,Jeff Cumberland 10 yard pass from Geno Smith (pass failed),25,27
