Unnamed: 0,CIN,BUF
First Downs,16,23
Rush-Yds-TDs,17-28-0,35-176-1
Cmp-Att-Yd-TD-INT,26-39-271-2-1,25-35-303-2-1
Sacked-Yards,0-0,0-0
Net Pass Yards,271,303
Total Yards,299,479
Fumbles-Lost,1-0,1-0
Turnovers,1,1
Penalties-Yards,5-45,3-25
Third Down Conv.,6-12,8-13
Fourth Down Conv.,0-0,0-0
Time of Possession,24:18,35:42
