Quarter,Time,Tm,Detail,CIN,BUF
1.0,11:44,Bills,Lee Evans 8 yard pass from J.P. Losman (Rian Lindell kick),0,7
,8:35,Bengals,T.J. Houshmandzadeh 15 yard pass from Carson Palmer (Shayne Graham kick),7,7
2.0,1:56,Bills,Rian Lindell 23 yard field goal,7,10
,1:44,Bengals,Glenn Holt 100 yard kickoff return (Shayne Graham kick),14,10
,0:03,Bills,Rian Lindell 21 yard field goal,14,13
3.0,7:31,Bills,Rian Lindell 29 yard field goal,14,16
,3:07,Bengals,Jeremi Johnson 1 yard pass from Carson Palmer (Shayne Graham kick),21,16
4.0,13:54,Bills,Rian Lindell 38 yard field goal,21,19
,5:51,Bills,Robert Royal 8 yard pass from Marshawn Lynch (Rian Lindell kick),21,26
,2:22,Bills,Marshawn Lynch 56 yard rush (Rian Lindell kick),21,33
