Quarter,Time,Tm,Detail,ARI,DET
1.0,6:10,Lions,Riley Patterson 37 yard field goal,0,3
2.0,14:53,Lions,Amon-Ra St. Brown 37 yard pass from Jared Goff (Riley Patterson kick),0,10
,0:19,Lions,Josh Reynolds 22 yard pass from Jared Goff (Riley Patterson kick),0,17
3.0,11:22,Cardinals,Matt Prater 29 yard field goal,3,17
,8:10,Lions,Jason Cabinda 6 yard pass from Jared Goff (Riley Patterson kick),3,24
,3:54,Cardinals,Matt Prater 29 yard field goal,6,24
4.0,13:15,Lions,Riley Patterson 47 yard field goal,6,27
,4:40,Cardinals,Christian Kirk 26 yard pass from Kyler Murray (pass failed),12,27
,2:46,Lions,Riley Patterson 45 yard field goal,12,30
