Unnamed: 0,ARI,DET
First Downs,23,22
Rush-Yds-TDs,21-105-0,34-126-0
Cmp-Att-Yd-TD-INT,29-50-313-1-1,21-26-216-3-0
Sacked-Yards,2-20,2-4
Net Pass Yards,293,212
Total Yards,398,338
Fumbles-Lost,1-0,1-1
Turnovers,1,1
Penalties-Yards,7-83,6-49
Third Down Conv.,7-15,6-13
Fourth Down Conv.,1-3,1-1
Time of Possession,28:08,31:52
