Quarter,Time,Down,ToGo,Location,ARI,DET,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss and deferred, Lions to receive the opening kickoff.",,
1,15:00,,,ARI 35,0,0,"Matt Prater kicks off 64 yards, returned by Godwin Igwebuike for 17 yards (tackle by Charles Washington)",,
1,14:55,1,10,DET 18,0,0,Jared Goff sacked by Jordan Phillips for -4 yards,,
1,14:08,2,14,DET 14,0,0,Craig Reynolds up the middle for 10 yards (tackle by Budda Baker),,
1,13:27,3,4,DET 24,0,0,Jared Goff pass complete short right to Amon-Ra St. Brown for 4 yards (tackle by Isaiah Simmons),,
1,12:44,1,10,DET 28,0,0,Jared Goff pass complete short right to Amon-Ra St. Brown for 5 yards (tackle by Byron Murphy),,
1,12:07,2,5,DET 33,0,0,Craig Reynolds right end for no gain (tackle by Michael Dogbe and Dennis Gardeck),,
1,11:26,3,5,DET 33,0,0,Craig Reynolds right tackle for 7 yards (tackle by Antonio Hamilton),,
1,10:53,1,10,DET 40,0,0,Jared Goff pass incomplete short middle intended for Brock Wright (defended by Jordan Hicks),,
1,10:47,2,10,DET 40,0,0,Jared Goff pass complete short middle to Kalif Raymond for 15 yards (tackle by Marco Wilson),,
1,10:18,1,10,ARI 45,0,0,Craig Reynolds right tackle for 6 yards (tackle by Zach Allen and Jordan Hicks),,
1,9:38,2,4,ARI 39,0,0,Jared Goff pass complete short left to Kalif Raymond for 5 yards (tackle by Jalen Thompson),,
1,9:03,1,10,ARI 34,0,0,Jared Goff pass complete short middle to Josh Reynolds for 13 yards (tackle by Byron Murphy),,
1,8:15,1,10,ARI 21,0,0,Craig Reynolds up the middle for -3 yards (tackle by Markus Golden),,
1,7:37,2,13,ARI 24,0,0,Amon-Ra St. Brown up the middle for 5 yards (tackle by Jordan Hicks),,
1,7:05,3,8,ARI 19,0,0,Jared Goff pass complete short right to Amon-Ra St. Brown for 5 yards (tackle by Antonio Hamilton),,
1,6:14,4,3,ARI 14,0,0,"Penalty on DET: Delay of Game, 5 yards (accepted) (no play)",,
1,6:14,4,8,ARI 19,0,3,Riley Patterson 37 yard field goal good,,
1,6:10,,,DET 35,0,3,"Jack Fox kicks onside 11 yards, returned by Joe Walker for no gain. Penalty on Saivion Smith: Illegal Shift, 5 yards (accepted)",,
1,6:09,1,10,DET 41,0,3,Kyler Murray left end for no gain (tackle by Charles Harris),,
1,5:36,2,10,DET 41,0,3,Kyler Murray pass complete short left to Antoine Wesley for 6 yards (tackle by Will Harris),,
