Unnamed: 0,MIN,DET
First Downs,29,13
Rush-Yds-TDs,35-269-1,21-72-0
Cmp-Att-Yd-TD-INT,23-44-199-3-3,20-29-227-2-0
Sacked-Yards,4-43,5-19
Net Pass Yards,156,208
Total Yards,425,280
Fumbles-Lost,5-3,0-0
Turnovers,6,0
Penalties-Yards,5-37,10-76
Third Down Conv.,8-14,8-16
Fourth Down Conv.,3-3,0-0
Time of Possession,28:46,31:14
