Unnamed: 0,ARI,MIN
First Downs,18,20
Rush-Yds-TDs,24-77-1,37-172-4
Cmp-Att-Yd-TD-INT,23-48-254-0-3,10-21-169-0-0
Sacked-Yards,4-40,1-9
Net Pass Yards,214,160
Total Yards,291,332
Fumbles-Lost,2-1,1-1
Turnovers,4,1
Penalties-Yards,6-64,5-35
Third Down Conv.,8-18,3-10
Fourth Down Conv.,2-4,0-0
Time of Possession,31:01,28:59
