Quarter,Time,Down,ToGo,Location,ARI,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss, Cardinals to receive the opening kickoff.",,
1,15:00,,,PHI 35,0,0,"Alex Henery kicks off 66 yards, returned by LaRod Stephens-Howling for 15 yards (tackle by Colt Anderson)",0.000,-0.280
1,14:56,1,10,ARI 14,0,0,Chris Wells left tackle for 3 yards (tackle by Akeem Jordan),-0.280,-0.370
1,14:20,2,7,ARI 17,0,0,Chris Wells left guard for 5 yards (tackle by Cullen Jenkins),-0.370,-0.440
1,13:42,3,2,ARI 22,0,0,John Skelton pass incomplete short middle intended for Andre Roberts (defended by Dominique Rodgers-Cromartie),-0.440,-1.900
1,13:38,4,2,ARI 22,0,0,"Dave Zastudil punts 51 yards, returned by Jeremy Maclin for 6 yards (tackle by Hamza Abdullah)",-1.900,-1.140
1,13:26,1,10,PHI 33,0,0,Michael Vick pass complete short right to Owen Schmitt for 8 yards (tackle by Daryl Washington),1.140,1.670
1,12:45,2,2,PHI 41,0,0,Michael Vick pass complete short left to Brent Celek for 13 yards (tackle by Clark Haggans and Richard Marshall),1.670,2.520
1,12:02,1,10,ARI 46,0,0,LeSean McCoy right end for -1 yards (tackle by Richard Marshall),2.520,1.840
1,11:28,2,11,ARI 47,0,0,LeSean McCoy right guard for no gain (tackle by Daryl Washington),1.840,1.160
1,10:41,3,11,ARI 47,0,0,Michael Vick left end for 9 yards (tackle by A.J. Jefferson),1.160,0.720
1,10:30,4,2,ARI 38,0,0,Michael Vick pass incomplete short left intended for Steve Smith,0.720,-1.470
1,10:23,1,10,ARI 38,0,0,John Skelton pass complete short left to Chansi Stuckey for 8 yards (tackle by Nnamdi Asomugha),1.470,2.000
1,9:50,2,2,ARI 46,0,0,Chris Wells right end for 1 yard (tackle by Jaiquawn Jarrett),2.000,1.420
1,9:12,3,1,ARI 47,0,0,"Chris Wells left tackle for 1 yard (tackle by Jamar Chaney). Penalty on Jamar Chaney: Face Mask (15 Yards), 15 yards",1.420,3.120
1,8:44,1,10,PHI 37,0,0,John Skelton pass complete short middle to Andre Roberts for 16 yards (tackle by Dominique Rodgers-Cromartie),3.120,4.170
1,8:04,1,10,PHI 21,0,0,John Skelton pass complete short right to Jeff King for 3 yards (tackle by Asante Samuel),4.170,4.040
1,7:24,2,7,PHI 18,0,0,"Penalty on Trent Cole: Defensive Offside, 5 yards (no play)",4.040,4.950
1,7:04,2,2,PHI 13,0,0,Chris Wells left end for -4 yards (tackle by Cullen Jenkins),4.950,3.460
1,6:19,3,6,PHI 17,0,0,John Skelton pass incomplete deep left intended for Andre Roberts,3.460,2.340
1,6:09,4,6,PHI 17,0,0,Jay Feely 35 yard field goal no good,2.340,-0.610
1,6:05,1,10,PHI 25,0,0,Michael Vick pass incomplete deep left intended for Steve Smith,0.610,0.060
1,5:57,2,10,PHI 25,0,0,Michael Vick pass complete short right to Jeremy Maclin for no gain,0.060,-0.620
1,5:15,3,10,PHI 25,0,0,Michael Vick pass incomplete deep left intended for Jeremy Maclin,-0.620,-1.700
1,5:09,4,10,PHI 25,0,0,"Chas Henry punts 52 yards, returned by Patrick Peterson for 3 yards (tackle by Colt Anderson)",-1.700,-0.670
1,4:58,1,10,ARI 26,0,0,Chris Wells left tackle for 1 yard (tackle by Trevor Laws),0.670,0.270
1,4:25,2,9,ARI 27,0,0,John Skelton pass incomplete short left intended for Larry Fitzgerald,0.270,-0.430
1,4:19,3,9,ARI 27,0,0,John Skelton pass incomplete,-0.430,-1.570
1,4:11,4,9,ARI 27,0,0,"Dave Zastudil punts 39 yards, fair catch by Steve Smith",-1.570,-1.200
1,4:03,1,10,PHI 34,0,0,Michael Vick pass incomplete short right intended for Riley Cooper,1.200,0.660
1,4:01,2,10,PHI 34,0,0,Michael Vick pass incomplete deep right intended for Brent Celek,0.660,-0.030
1,3:54,3,10,PHI 34,0,0,Michael Vick pass incomplete deep left intended for Riley Cooper,-0.030,-1.110
1,3:47,4,10,PHI 34,0,0,"Chas Henry punts 47 yards, returned by Patrick Peterson for 7 yards (tackle by Akeem Jordan)",-1.110,-0.670
1,3:37,1,10,ARI 26,0,0,Chris Wells up the middle for 1 yard (tackle by Jamar Chaney),0.670,0.270
1,3:05,2,9,ARI 27,0,0,John Skelton pass complete deep right to Larry Fitzgerald for 42 yards (tackle by Jaiquawn Jarrett),0.270,3.510
1,2:32,1,10,PHI 31,0,0,Chris Wells up the middle for -3 yards (tackle by Cullen Jenkins),3.510,2.560
1,1:55,2,13,PHI 34,0,0,John Skelton pass incomplete short right intended for Jim Dray (defended by Jamar Chaney),2.560,1.880
1,1:52,3,13,PHI 34,0,0,John Skelton for 9 yards (tackle by Asante Samuel),1.880,1.880
1,1:34,4,4,PHI 25,0,0,Jay Feely 43 yard field goal no good,1.880,-1.140
1,1:29,1,10,PHI 33,0,0,LeSean McCoy left end for 14 yards (tackle by Richard Marshall),1.140,2.060
