Unnamed: 0,ARI,PHI
First Downs,23,15
Rush-Yds-TDs,29-88-0,24-166-1
Cmp-Att-Yd-TD-INT,21-40-315-3-2,16-34-128-0-2
Sacked-Yards,4-33,2-5
Net Pass Yards,282,123
Total Yards,370,289
Fumbles-Lost,0-0,1-0
Turnovers,2,2
Penalties-Yards,7-66,11-97
Third Down Conv.,6-16,3-15
Fourth Down Conv.,1-1,0-1
Time of Possession,31:42,28:18
