Quarter,Time,Tm,Detail,ARI,PHI
2.0,9:35,Eagles,Asante Samuel 20 yard interception return (Alex Henery kick),0,7
,4:48,Cardinals,Larry Fitzgerald 10 yard pass from John Skelton (Jay Feely kick),7,7
,0:17,Eagles,LeSean McCoy 1 yard rush (Alex Henery kick),7,14
4.0,9:18,Cardinals,Larry Fitzgerald 7 yard pass from John Skelton (Jay Feely kick),14,14
,5:06,Eagles,Alex Henery 36 yard field goal,14,17
,1:53,Cardinals,Early Doucet 5 yard pass from John Skelton (Jay Feely kick),21,17
