Unnamed: 0,BUF,NYJ
First Downs,23,17
Rush-Yds-TDs,25-128-1,21-68-0
Cmp-Att-Yd-TD-INT,24-37-254-1-2,28-41-175-1-0
Sacked-Yards,1-12,4-20
Net Pass Yards,242,155
Total Yards,370,223
Fumbles-Lost,2-2,2-1
Turnovers,4,1
Penalties-Yards,7-55,8-67
Third Down Conv.,5-10,7-17
Fourth Down Conv.,0-1,1-2
Time of Possession,27:59,32:01
