Unnamed: 0,TEN,BUF
First Downs,21,22
Rush-Yds-TDs,27-197-4,24-166-0
Cmp-Att-Yd-TD-INT,22-33-205-1-0,27-35-225-3-1
Sacked-Yards,2-12,1-9
Net Pass Yards,193,216
Total Yards,390,382
Fumbles-Lost,1-0,1-1
Turnovers,0,2
Penalties-Yards,3-25,8-65
Third Down Conv.,9-14,7-12
Fourth Down Conv.,1-2,0-1
Time of Possession,29:41,30:19
