Quarter,Time,Tm,Detail,NYJ,HOU
1.0,5:34,Jets,Matt Ammendola 31 yard field goal,3,0
2.0,14:18,Texans,Brevin Jordan 13 yard pass from Tyrod Taylor (Ka'imi Fairbairn kick),3,7
,10:29,Texans,Brandin Cooks 40 yard pass from Tyrod Taylor (Ka'imi Fairbairn kick),3,14
,1:13,Jets,Austin Walter 2 yard rush (Josh Johnson run),11,14
3.0,7:51,Jets,Zach Wilson 4 yard rush (Matt Ammendola kick),18,14
4.0,3:34,Jets,Matt Ammendola 37 yard field goal,21,14
