Unnamed: 0,WAS,DAL
First Downs,13,22
Rush-Yds-TDs,20-88-0,36-223-1
Cmp-Att-Yd-TD-INT,18-37-206-1-1,23-33-303-4-0
Sacked-Yards,2-23,3-9
Net Pass Yards,183,294
Total Yards,271,517
Fumbles-Lost,1-1,1-1
Turnovers,2,1
Penalties-Yards,2-10,10-81
Third Down Conv.,1-12,8-15
Fourth Down Conv.,0-3,1-1
Time of Possession,25:45,34:15
