#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,12:51,WAS 29,3,0:16,0,Interception
2,1,7:41,WAS 25,2,0:58,5,Fumble
3,1,5:15,WAS 25,11,5:26,57,Downs
4,2,14:34,DAL 16,4,0:57,3,Field Goal
5,2,11:01,WAS 25,3,1:33,-8,Punt
6,2,8:02,DAL 44,4,1:28,5,Downs
7,2,3:50,WAS 26,10,3:16,74,Touchdown
8,3,15:00,WAS 18,6,3:06,58,Field Goal
9,3,8:17,WAS 25,5,1:17,65,Field Goal
10,3,4:07,WAS 25,3,1:15,-9,Punt
11,3,0:52,WAS 25,5,2:15,24,Downs
12,4,12:46,WAS 25,3,1:44,2,Punt
13,4,2:40,WAS 25,3,2:14,5,Punt
