#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,DAL 25,3,2:09,2,Punt
2,1,12:35,WAS 36,10,4:54,26,Field Goal
3,1,6:43,WAS 21,4,1:28,-8,Field Goal
4,2,14:49,DAL 18,2,0:15,-2,Fumble
5,2,13:37,DAL 25,7,2:36,75,Touchdown
6,2,9:28,DAL 30,3,1:26,-4,Punt
7,2,6:34,DAL 39,6,2:44,61,Touchdown
8,2,0:34,DAL 25,4,0:34,26,End of Half
9,3,11:54,DAL 25,7,3:37,75,Touchdown
10,3,7:00,DAL 27,7,2:53,43,Field Goal
11,3,2:52,DAL 47,4,2:00,53,Touchdown
12,4,13:37,WAS 49,3,0:51,49,Touchdown
13,4,11:02,DAL 6,15,8:22,72,Field Goal
14,4,0:26,DAL 20,1,0:26,-1,End of Game
