Quarter,Time,Tm,Detail,WAS,DAL
1.0,7:41,Cowboys,Kai Forbath 28 yard field goal,0,3
,5:15,Cowboys,Kai Forbath 47 yard field goal,0,6
2.0,13:37,Redskins,Dustin Hopkins 31 yard field goal,3,6
,11:01,Cowboys,Ezekiel Elliott 13 yard pass from Dak Prescott (Kai Forbath kick),3,13
,3:50,Cowboys,Ezekiel Elliott 33 yard rush (Kai Forbath kick),3,20
,0:34,Redskins,Steven Sims 6 yard pass from Case Keenum (Dustin Hopkins kick),10,20
3.0,11:54,Redskins,Dustin Hopkins 42 yard field goal,13,20
,8:17,Cowboys,Michael Gallup 4 yard pass from Dak Prescott (Kai Forbath kick),13,27
,7:00,Redskins,Dustin Hopkins 28 yard field goal,16,27
,4:07,Cowboys,Kai Forbath 48 yard field goal,16,30
,0:52,Cowboys,Michael Gallup 32 yard pass from Dak Prescott (Kai Forbath kick),16,37
4.0,12:46,Cowboys,Michael Gallup 45 yard pass from Dak Prescott (Kai Forbath kick),16,44
,2:40,Cowboys,Kai Forbath 40 yard field goal,16,47
