Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Aaron Colvin,WAS,0,8,7,87.5%,108,15.4,13.5,1,158.3,12.0,85,23,0,0,0,0.0,0,4,1,20.0%
Kayvon Webster,WAS,0,5,4,80.0%,80,20.0,16.0,1,158.3,8.8,32,48,0,0,0,0.0,0,3,0,0.0%
Jonathan Bostic,WAS,0,3,3,100.0%,18,6.0,6.0,0,91.7,4.7,14,4,4,0,0,0.0,0,6,1,14.3%
Coty Sensabaugh,WAS,0,6,3,50.0%,32,10.7,5.3,0,66.0,4.0,17,15,2,0,0,0.0,0,4,0,0.0%
Ryan Anderson,WAS,0,2,2,100.0%,18,9.0,9.0,1,143.7,4.5,9,9,5,0,1,0.0,1,4,1,20.0%
Jeremy Reaves,WAS,0,3,2,66.7%,38,19.0,12.7,1,149.3,5.7,8,30,1,0,1,0.0,1,4,1,20.0%
Shaun Dion Hamilton,WAS,0,2,1,50.0%,-8,-8.0,-4.0,0,56.2,-0.5,-5,-3,1,0,0,0.0,0,4,0,0.0%
Cole Holcomb,WAS,0,1,1,100.0%,17,17.0,17.0,0,118.7,1.0,1,16,0,0,0,0.0,0,6,0,0.0%
Montez Sweat,WAS,0,1,0,0.0%,,,0.0,,39.6,2.0,,,4,0,1,2.0,3,5,0,0.0%
Jonathan Allen,WAS,0,0,0,,,,,,,,,,0,0,0,1.0,1,8,0,0.0%
Kenny Ladler,WAS,0,0,0,,,,,,,,,,0,0,0,0.0,0,4,4,50.0%
Nate Orchard,WAS,0,0,0,,,,,,,,,,1,0,0,0.0,0,2,2,50.0%
Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Jourdan Lewis,DAL,0,9,5,55.6%,102,20.4,11.3,0,95.6,9.8,34,68,0,0,0,0.0,0,5,0,0.0%
Sean Lee,DAL,0,4,3,75.0%,24,8.0,6.0,0,89.6,5.3,3,21,3,0,0,0.0,0,3,2,40.0%
Jaylon Smith,DAL,1,5,3,60.0%,23,7.7,4.6,0,31.7,5.6,18,5,2,0,0,0.0,0,9,0,0.0%
Jeff Heath,DAL,0,5,2,40.0%,15,7.5,3.0,0,47.9,6.2,6,9,4,0,0,0.0,0,8,0,0.0%
Chidobe Awuzie,DAL,0,5,2,40.0%,11,5.5,2.2,0,47.9,7.6,9,2,0,0,0,0.0,0,5,0,0.0%
Malcolm Smith,DAL,0,3,1,33.3%,0,0.0,0.0,0,42.4,-2.7,0,0,2,0,0,0.0,0,3,1,25.0%
Kerry Hyder,DAL,0,0,0,,,,,,,,,,0,1,0,1.0,2,4,1,20.0%
Robert Quinn,DAL,0,0,0,,,,,,,,,,0,0,1,1.0,2,3,0,0.0%
Maliek Collins,DAL,0,0,0,,,,,,,,,,0,0,2,0.0,2,0,1,100.0%
Christian Covington,DAL,0,1,0,0.0%,,,0.0,,39.6,-5.0,,,0,1,0,0.0,1,4,0,0.0%
Michael Bennett,DAL,0,0,0,,,,,,,,,,0,1,0,0.0,1,2,1,33.3%
Xavier Woods,DAL,0,1,0,0.0%,,,0.0,,39.6,7.0,,,0,0,0,0.0,0,2,0,0.0%
