Unnamed: 0_level_0,Unnamed: 1_level_0,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Player,Tm,Rt,Yds,Y/Rt,TD,Lng,Ret,Yds,Y/R,TD,Lng
Clifton Smith,TAM,4,111,27.8,0,30,1,5,5.0,0,5
Earnest Graham,TAM,1,21,21.0,0,21,0,0,,0,0
,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Player,Tm,Rt,Yds,Y/Rt,TD,Lng,Ret,Yds,Y/R,TD,Lng
Roscoe Parrish,BUF,0,0,,0,0,3,15,5.0,0,15
Fred Jackson,BUF,1,9,9.0,0,9,0,0,,0,0
Spencer Johnson,BUF,1,12,12.0,0,12,0,0,,0,0
Leodis McKelvin,BUF,1,24,24.0,0,24,0,0,,0,0
Xavier Omon,BUF,1,26,26.0,0,26,0,0,,0,0
Ashton Youboty,BUF,0,0,,0,0,0,16,,0,16
