Unnamed: 0,TAM,BUF
First Downs,19,25
Rush-Yds-TDs,19-57-0,35-218-0
Cmp-Att-Yd-TD-INT,26-50-296-3-2,21-31-230-2-1
Sacked-Yards,2-0,2-10
Net Pass Yards,296,220
Total Yards,353,438
Fumbles-Lost,1-0,1-1
Turnovers,2,2
Penalties-Yards,13-112,7-55
Third Down Conv.,4-16,4-12
Fourth Down Conv.,3-4,1-1
Time of Possession,30:27,29:33
