Quarter,Time,Tm,Detail,PIT,IND
1.0,9:10,Steelers,Le'Veon Bell 5 yard rush (Chris Boswell kick),7,0
,1:06,Steelers,Antonio Brown 25 yard pass from Ben Roethlisberger (Chris Boswell kick),14,0
2.0,13:02,Colts,Donte Moncrief 5 yard pass from Scott Tolzien (Adam Vinatieri kick),14,7
,9:00,Steelers,Antonio Brown 33 yard pass from Ben Roethlisberger (Chris Boswell kick),21,7
4.0,5:30,Steelers,Antonio Brown 22 yard pass from Ben Roethlisberger (Chris Boswell kick),28,7
