Unnamed: 0,PIT,IND
First Downs,16,18
Rush-Yds-TDs,29-148-1,23-91-0
Cmp-Att-Yd-TD-INT,14-21-221-3-0,23-37-240-1-2
Sacked-Yards,0-0,3-21
Net Pass Yards,221,219
Total Yards,369,310
Fumbles-Lost,0-0,1-0
Turnovers,0,2
Penalties-Yards,7-67,2-10
Third Down Conv.,7-11,8-15
Fourth Down Conv.,0-0,2-4
Time of Possession,28:15,31:45
