Quarter,Time,Down,ToGo,Location,NYG,CIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss and deferred, Bengals to receive the opening kickoff.",,
1,15:00,,,NYG 35,0,0,"Lawrence Tynes kicks off 68 yards, returned by Brandon Tate for 24 yards (tackle by Justin Tryon)",0.000,0.340
1,14:55,1,10,CIN 21,0,0,Andy Dalton pass complete short right to A.J. Green for 7 yards (tackle by Corey Webster),0.340,0.750
1,14:24,2,3,CIN 28,0,0,BenJarvus Green-Ellis left end for 5 yards (tackle by Linval Joseph and Prince Amukamara),0.750,1.140
1,13:46,1,10,CIN 33,0,0,Andy Dalton pass complete short right to A.J. Green for 7 yards (tackle by Prince Amukamara),1.140,1.540
1,13:21,2,3,CIN 40,0,0,BenJarvus Green-Ellis up the middle for 4 yards (tackle by Justin Tuck and Antrel Rolle),1.540,1.860
1,12:43,1,10,CIN 44,0,6,"Andy Dalton pass complete deep right to A.J. Green for 56 yards, touchdown",1.860,7.000
1,12:43,,,NYG 2,0,7,Mike Nugent kicks extra point good,0.000,0.000
1,12:34,,,CIN 35,0,7,"Mike Nugent kicks off 66 yards, returned by David Wilson for 21 yards (tackle by Mohamed Sanu)",0.000,0.280
1,12:27,1,10,NYG 20,0,7,Eli Manning pass complete short middle to Andre Brown for 5 yards (tackle by Vontaze Burfict and Chris Crocker),0.280,0.410
1,11:56,2,5,NYG 25,0,7,Eli Manning pass incomplete short right intended for Domenik Hixon,0.410,-0.300
1,11:49,3,5,NYG 25,0,7,Eli Manning pass incomplete short middle intended for Hakeem Nicks (defended by Pacman Jones),-0.300,-1.700
1,11:42,4,5,NYG 25,0,7,"Steve Weatherford punts 61 yards, out of bounds. Penalty on Justin Tryon: Player Out of Bounds on Punt, 5 yards (no play)",-1.700,-2.030
1,11:34,4,10,NYG 20,0,7,"Steve Weatherford punts 59 yards, returned by Pacman Jones for 68 yards (tackle by Steve Weatherford)",-2.030,-4.840
1,11:11,1,10,NYG 11,0,7,Andy Dalton pass incomplete short right intended for A.J. Green (defended by Corey Webster),4.840,0.000
1,11:05,,,,0,7,Timeout #1 by Cincinnati Bengals,0.000,4.140
1,11:05,2,10,NYG 11,0,7,Andy Dalton pass incomplete short right intended for A.J. Green (defended by Corey Webster),4.140,3.130
1,10:59,3,10,NYG 11,0,13,"Andy Dalton pass complete short right to Andrew Hawkins for 11 yards, touchdown",3.130,7.000
1,10:59,,,NYG 2,0,14,Mike Nugent kicks extra point good,0.000,0.000
1,10:53,,,CIN 35,0,14,"Mike Nugent kicks off 53 yards, muffed catch by David Wilson, recovered by David Wilson and returned for no gain",0.000,-0.350
1,10:51,1,10,NYG 12,0,14,"Eli Manning pass complete short middle to Domenik Hixon for 8 yards (tackle by Rey Maualuga and Pacman Jones). Penalty on Rey Maualuga: Personal Foul, 15 yards",-0.350,1.270
1,10:29,1,10,NYG 35,0,14,Ahmad Bradshaw left tackle for 3 yards (tackle by Carlos Dunlap),1.270,1.130
1,9:54,2,7,NYG 38,0,14,Ahmad Bradshaw left guard for 3 yards (tackle by Carlos Dunlap),1.130,0.830
1,9:14,3,4,NYG 41,0,14,Eli Manning sacked by Carlos Dunlap and Robert Geathers for -6 yards,0.830,-1.040
1,8:45,4,10,NYG 35,0,14,"Steve Weatherford punts 45 yards, returned by Brandon Tate for 7 yards (tackle by Chase Blackburn). Brandon Tate fumbles (forced by Chase Blackburn), recovered by Will Hill at CIN-27",-1.040,3.780
1,8:34,1,10,CIN 27,0,14,Ahmad Bradshaw left guard for 5 yards (tackle by Geno Atkins),3.780,3.910
1,8:02,2,5,CIN 22,0,14,Eli Manning pass complete short left to Hakeem Nicks for 10 yards (tackle by Taylor Mays),3.910,4.780
1,7:34,1,10,CIN 12,0,14,Eli Manning pass complete short left to Hakeem Nicks for 3 yards (tackle by Pacman Jones),4.780,4.640
1,6:53,2,7,CIN 9,0,14,Ahmad Bradshaw right tackle for 3 yards (tackle by Wallace Gilberry and Rey Maualuga),4.640,4.380
1,6:16,3,4,CIN 6,0,14,Eli Manning pass complete short middle to Ahmad Bradshaw for 1 yard (tackle by Nate Clements),4.380,3.020
1,5:38,4,3,CIN 5,3,14,Lawrence Tynes 23 yard field goal good,3.020,3.000
