Quarter,Time,Tm,Detail,PHI,WAS
1,0:22,Eagles,Jake Elliott 33 yard field goal,3,0
2,0:30,Eagles,Alshon Jeffery 2 yard pass from Nick Foles (Jake Elliott kick),10,0
3,1:25,Eagles,Nelson Agholor 6 yard pass from Nick Foles (Jake Elliott kick),17,0
4,7:34,Eagles,Nelson Agholor 22 yard pass from Nate Sudfeld (Jake Elliott kick),24,0
