Unnamed: 0,PHI,WAS
First Downs,25,8
Rush-Yds-TDs,34-129-0,12-21-0
Cmp-Att-Yd-TD-INT,29-34-243-3-1,13-28-98-0-1
Sacked-Yards,3-12,4-30
Net Pass Yards,231,68
Total Yards,360,89
Fumbles-Lost,1-0,1-0
Turnovers,1,1
Penalties-Yards,5-25,2-15
Third Down Conv.,8-14,0-9
Fourth Down Conv.,1-1,2-4
Time of Possession,43:19,16:41
