Unnamed: 0,ATL,CAR
First Downs,20,17
Rush-Yds-TDs,26-54-1,15-77-0
Cmp-Att-Yd-TD-INT,22-32-314-1-0,31-50-325-0-4
Sacked-Yards,3-19,5-55
Net Pass Yards,295,270
Total Yards,349,347
Fumbles-Lost,3-0,0-0
Turnovers,0,4
Penalties-Yards,3-20,8-68
Third Down Conv.,6-14,2-14
Fourth Down Conv.,1-1,3-5
Time of Possession,31:26,28:34
