Quarter,Time,Tm,Detail,NOR,OAK
1.0,6:53,Raiders,Sebastian Janikowski 28 yard field goal,0,3
,0:08,Raiders,Sebastian Janikowski 42 yard field goal,0,6
2.0,6:53,Raiders,Sebastian Janikowski 44 yard field goal,0,9
,1:01,Saints,Lamont Hall 4 yard pass from Aaron Brooks (John Carney kick),7,9
3.0,8:31,Saints,Deuce McAllister 3 yard rush (John Carney kick),14,9
,1:32,Saints,Deuce McAllister 1 yard rush (John Carney kick),21,9
4.0,14:34,Raiders,Doug Jolley 34 yard pass from Kerry Collins (Sebastian Janikowski kick),21,16
,9:51,Raiders,Sebastian Janikowski 40 yard field goal,21,19
,4:31,Saints,John Carney 41 yard field goal,24,19
,4:20,Saints,Colby Bockwoldt 6 yard fumble return (John Carney kick),31,19
,2:34,Raiders,Jerry Porter 13 yard pass from Kerry Collins (Sebastian Janikowski kick),31,26
