Unnamed: 0,NOR,OAK
First Downs,20,20
Rush-Yds-TDs,28-42-2,24-82-0
Cmp-Att-Yd-TD-INT,23-39-282-1-0,26-45-350-2-1
Sacked-Yards,1-2,0-0
Net Pass Yards,280,350
Total Yards,322,432
Fumbles-Lost,0-0,1-1
Turnovers,0,2
Penalties-Yards,5-30,6-46
Third Down Conv.,8-17,4-15
Fourth Down Conv.,0-0,1-1
Time of Possession,29:39,30:21
