Quarter,Time,Down,ToGo,Location,DEN,JAX,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jaguars won the coin toss and deferred, Broncos to receive the opening kickoff.",,
1,15:00,,,JAX 35,0,0,"Jason Myers kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,DEN 25,0,0,Devontae Booker left guard for 1 yard (tackle by Telvin Smith),0.610,0.200
1,14:30,2,9,DEN 26,0,0,Paxton Lynch pass incomplete short right intended for Demaryius Thomas,0.200,-0.490
1,14:27,3,9,DEN 26,0,0,Paxton Lynch pass incomplete short right intended for Emmanuel Sanders,-0.490,-1.630
1,14:23,4,9,DEN 26,0,0,"Riley Dixon punts 58 yards, returned by Bryan Walters for 4 yards (tackle by Justin Simmons)",-1.630,-0.280
1,14:11,1,10,JAX 20,0,0,Denard Robinson left end for 3 yards (tackle by Derek Wolfe),0.280,0.140
1,13:36,2,7,JAX 23,0,0,Blake Bortles pass incomplete deep left intended for Allen Robinson,0.140,-0.560
1,13:33,3,7,JAX 23,0,0,"Penalty on Kelvin Beachum: False Start, 5 yards (no play)",-0.560,-1.330
1,13:33,3,12,JAX 18,0,0,Blake Bortles pass complete short right to Neal Sterling for 6 yards (tackle by T.J. Ward),-1.330,-1.770
1,12:53,4,6,JAX 24,0,0,"Brad Nortman punts 65 yards, returned by Kalif Raymond for no gain",-1.770,0.370
1,12:39,1,10,DEN 11,0,0,Paxton Lynch pass complete short left to Demaryius Thomas for 13 yards (tackle by Jalen Ramsey and Tashaun Gipson),-0.370,0.540
1,12:04,1,10,DEN 24,0,0,Paxton Lynch pass complete short right to A.J. Derby for 3 yards (tackle by Myles Jack),0.540,0.400
1,11:27,2,7,DEN 27,0,0,Devontae Booker left guard for 4 yards (tackle by Telvin Smith),0.400,0.230
1,10:48,3,3,DEN 31,0,0,Paxton Lynch pass complete short left to Demaryius Thomas for 10 yards (tackle by Jalen Ramsey),0.230,1.660
1,10:07,1,10,DEN 41,0,0,Devontae Booker right guard for 1 yard (tackle by Dante Fowler),1.660,1.260
1,9:27,2,9,DEN 42,0,0,Paxton Lynch sacked by Sen'Derrick Marks for -2 yards,1.260,0.300
1,8:48,3,11,DEN 40,0,0,Paxton Lynch pass complete short right to Devontae Booker for 2 yards (tackle by Sen'Derrick Marks),0.300,-0.590
1,8:12,4,9,DEN 42,0,0,"Riley Dixon punts 58 yards, touchback",-0.590,-0.280
1,8:03,1,10,JAX 20,0,0,Denard Robinson middle for 5 yards (tackle by T.J. Ward),0.280,0.410
1,7:31,2,5,JAX 25,0,0,Denard Robinson right guard for 4 yards (tackle by Derek Wolfe),0.410,0.230
1,6:48,3,1,JAX 29,0,0,Blake Bortles pass incomplete short left intended for Allen Robinson,0.230,-1.440
1,6:43,4,1,JAX 29,0,0,"Brad Nortman punts 50 yards, returned by Kalif Raymond for -1 yards (tackle by Arrelious Benn)",-1.440,-0.280
1,6:33,1,10,DEN 20,0,0,Paxton Lynch pass complete short right to Emmanuel Sanders for 12 yards (tackle by Telvin Smith),0.280,1.070
1,6:01,1,10,DEN 32,0,0,Devontae Booker middle for 2 yards (tackle by Paul Posluszny),1.070,0.800
1,5:28,2,8,DEN 34,0,0,Paxton Lynch pass complete short left to Demaryius Thomas for 6 yards (tackle by Prince Amukamara),0.800,0.890
1,4:49,3,2,DEN 40,0,0,Paxton Lynch pass incomplete deep left intended for Virgil Green,0.890,-0.720
1,4:40,4,2,DEN 40,0,0,"Riley Dixon punts 46 yards, fair catch by Bryan Walters",-0.720,0.280
1,4:32,1,10,JAX 14,0,0,Denard Robinson left guard for 3 yards (tackle by Sylvester Williams),-0.280,-0.370
1,4:00,2,7,JAX 17,0,0,Denard Robinson right guard for 1 yard (tackle by Jared Crick),-0.370,-0.920
1,3:18,3,6,JAX 18,0,0,Blake Bortles pass complete short left to Bryan Walters for 15 yards (tackle by Corey Nelson),-0.920,1.140
1,2:40,1,10,JAX 33,0,0,Denard Robinson left guard for 4 yards (tackle by Jared Crick),1.140,1.130
1,2:10,2,6,JAX 37,0,0,Denard Robinson left end for no gain (tackle by Todd Davis),1.130,0.430
1,1:31,3,6,JAX 37,0,0,Blake Bortles pass complete short left to Neal Sterling for 17 yards (tackle by Justin Simmons),0.430,2.520
1,0:50,1,10,DEN 46,0,0,Denard Robinson right end for 1 yard (tackle by Shaquil Barrett),2.520,2.110
1,0:16,2,9,DEN 45,0,0,Blake Bortles pass incomplete short left intended for Allen Robinson,2.110,1.420
1,0:09,3,9,DEN 45,0,0,Blake Bortles pass incomplete short right intended for Marqise Lee,1.420,0.270
1,0:05,4,9,DEN 45,0,0,Brad Nortman punts 36 yards,0.270,0.380
Quarter,Time,Down,ToGo,Location,DEN,JAX,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DEN 9,0,0,Kapri Bibbs right end for 5 yards (tackle by Dan Skuta),-0.380,-0.390
2,14:27,2,5,DEN 14,0,0,Paxton Lynch pass incomplete short right intended for Emmanuel Sanders,-0.390,-0.840
2,14:23,3,5,DEN 14,0,0,Paxton Lynch pass incomplete short right intended for Emmanuel Sanders,-0.840,-2.470
2,14:19,4,5,DEN 14,0,0,"Riley Dixon punts 50 yards, returned by Bryan Walters for 5 yards (tackle by Justin Simmons)",-2.470,-1.660
2,14:09,1,10,JAX 41,0,0,Blake Bortles pass complete short middle to Marqise Lee for 5 yards (tackle by Aqib Talib),1.660,1.800
2,13:37,2,5,JAX 46,0,0,T.J. Yeldon middle for 1 yard (tackle by Todd Davis),1.800,1.220
2,12:58,3,4,JAX 47,0,0,Blake Bortles pass complete short right to Marqise Lee for 17 yards (tackle by Aqib Talib),1.220,3.180
2,12:17,1,10,DEN 36,0,0,Blake Bortles pass complete short middle to Allen Robinson for 5 yards (tackle by Adam Gotsis and Brandon Marshall),3.180,3.310
2,11:46,2,5,DEN 31,0,0,Corey Grant left end for 2 yards (tackle by Billy Winn),3.310,2.870
2,11:11,3,3,DEN 29,0,0,Blake Bortles pass incomplete short right intended for Marqise Lee,2.870,1.580
2,11:06,4,3,DEN 29,0,3,Jason Myers 47 yard field goal good,1.580,3.000
2,11:01,,,JAX 35,0,3,"Jason Myers kicks off 65 yards, touchback",0.000,-0.610
2,11:01,1,10,DEN 25,0,3,Paxton Lynch pass incomplete deep right intended for Demaryius Thomas (defended by Jalen Ramsey),0.610,0.060
2,10:54,2,10,DEN 25,0,3,Devontae Booker right end for 5 yards (tackle by Paul Posluszny),0.060,0.000
2,10:14,,,,0,3,Timeout #1 by Denver Broncos,0.000,-0.040
2,10:14,3,5,DEN 30,0,3,"Paxton Lynch pass incomplete short right intended for Emmanuel Sanders. Penalty on Telvin Smith: Roughing the Passer, 15 yards (no play)",0.040,1.930
2,10:09,1,10,DEN 45,0,3,Devontae Booker right end for 1 yard (tackle by Malik Jackson),1.930,1.520
2,9:34,2,9,DEN 46,0,3,Kapri Bibbs right end for 24 yards (tackle by Jalen Ramsey),1.520,3.580
2,8:52,1,10,JAX 30,0,3,Paxton Lynch pass complete short left to Demaryius Thomas for 7 yards (tackle by Aaron Colvin),3.580,3.980
2,8:21,2,3,JAX 23,0,3,Kapri Bibbs left end for 13 yards (tackle by Tashaun Gipson),3.980,4.910
2,7:37,1,10,JAX 10,0,3,Devontae Booker left end for 4 yards (tackle by Abry Jones),4.910,4.950
2,7:01,2,6,JAX 6,6,3,"Devontae Booker middle for 6 yards, touchdown",4.950,7.000
2,6:54,,,JAX 15,7,3,Brandon McManus kicks extra point good,0.000,0.000
2,6:54,,,DEN 35,7,3,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.610
2,6:54,1,10,JAX 25,7,3,Blake Bortles pass complete short middle to Allen Robinson for 21 yards (tackle by Aqib Talib),0.610,1.990
2,6:30,1,10,JAX 46,7,3,Denard Robinson left end for 3 yards (tackle by Derek Wolfe),1.990,1.860
2,5:54,2,7,JAX 49,7,3,Marqise Lee for 9 yards,1.860,2.790
2,5:19,1,10,DEN 42,7,3,Denard Robinson middle for 5 yards (tackle by Shane Ray),2.790,2.920
2,4:44,2,5,DEN 37,7,3,Blake Bortles pass incomplete deep left intended for Allen Robinson is intercepted by Chris Harris at DEN-13 and returned for 36 yards,2.920,-2.190
2,4:29,1,10,DEN 49,7,3,Kapri Bibbs middle for 7 yards (tackle by Tyson Alualu),2.190,2.590
2,3:52,2,3,JAX 44,7,3,Kapri Bibbs right end for no gain (tackle by Dante Fowler),2.590,1.880
2,3:12,3,3,JAX 44,7,3,Paxton Lynch pass incomplete short left intended for Jordan Norwood,1.880,0.330
2,3:08,4,3,JAX 44,7,3,Riley Dixon punts 41 yards,0.330,0.380
2,3:00,1,10,JAX 3,7,3,T.J. Yeldon middle for 2 yards (tackle by Jared Crick),-0.380,-0.630
2,2:15,2,8,JAX 5,7,3,T.J. Yeldon middle for 8 yards (tackle by Todd Davis),-0.630,-0.320
2,2:00,1,10,JAX 13,7,3,T.J. Yeldon right end for 1 yard (tackle by Derek Wolfe),-0.320,-0.680
2,1:36,2,9,JAX 14,7,3,Blake Bortles pass incomplete short right intended for T.J. Yeldon,-0.680,-1.300
2,1:33,3,9,JAX 14,7,3,Blake Bortles pass complete short left to Bryan Walters for 12 yards (tackle by Shane Ray),-1.300,0.000
2,1:24,,,,7,3,Timeout #1 by Jacksonville Jaguars,0.000,-0.670
2,1:24,1,10,JAX 26,7,3,Blake Bortles pass incomplete short middle intended for Bryan Walters (defended by Chris Harris),0.670,0.130
2,1:21,2,10,JAX 26,7,3,Blake Bortles pass complete short right to Neal Sterling for 3 yards (tackle by Chris Harris),0.130,-0.160
2,1:15,3,7,JAX 29,7,3,"Blake Bortles middle for 14 yards. Penalty on A.J. Cann: Illegal Use of Hands, 10 yards (no play)",-0.160,-1.580
2,1:07,3,17,JAX 19,7,3,Blake Bortles pass complete short left to Allen Robinson for 5 yards (tackle by Chris Harris),-1.580,0.000
2,1:00,,,,7,3,Timeout #2 by Denver Broncos,0.000,1.770
2,1:00,4,12,JAX 24,7,3,"Brad Nortman punts 53 yards, returned by Kalif Raymond for 19 yards (tackle by Alex Ellis). Penalty on Alex Ellis: Unnecessary Roughness, 15 yards",-1.770,-2.720
2,0:47,1,10,JAX 43,7,3,Paxton Lynch pass complete short left to Emmanuel Sanders for 8 yards (tackle by Prince Amukamara),2.720,3.260
2,0:42,2,2,JAX 35,7,3,Devontae Booker middle for 3 yards (tackle by Paul Posluszny),3.260,3.450
2,0:18,1,10,JAX 32,7,3,Paxton Lynch pass complete deep middle to Demaryius Thomas for 18 yards (tackle by Prince Amukamara),3.450,0.000
2,0:05,,,,7,3,Timeout #3 by Denver Broncos,0.000,-4.650
2,0:05,1,10,JAX 14,10,3,Brandon McManus 32 yard field goal good,4.650,3.000
2,0:01,,,DEN 35,10,3,Brandon McManus kicks off 34 yards,0.000,1.270
Quarter,Time,Down,ToGo,Location,DEN,JAX,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DEN 35,10,3,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,JAX 25,10,3,Denard Robinson right end for 3 yards (tackle by Derek Wolfe),0.610,0.470
3,14:27,2,7,JAX 28,10,3,Blake Bortles pass incomplete short left intended for Ben Koyack,0.470,-0.230
3,14:23,3,7,JAX 28,10,3,Blake Bortles pass incomplete short left intended for Marqise Lee (defended by Darian Stewart),-0.230,-1.500
3,14:18,4,7,JAX 28,10,3,"Brad Nortman punts 41 yards, returned by Kalif Raymond for 22 yards (tackle by Corey Grant)",-1.500,-2.460
