Quarter,Time,Tm,Detail,DEN,JAX
2.0,11:01,Jaguars,Jason Myers 47 yard field goal,0,3
,6:54,Broncos,Devontae Booker 6 yard rush (Brandon McManus kick),7,3
,0:01,Broncos,Brandon McManus 32 yard field goal,10,3
3.0,7:34,Broncos,Bradley Roby 51 yard interception return (Brandon McManus kick),17,3
4.0,14:03,Jaguars,Blake Bortles 22 yard rush (Jason Myers kick),17,10
,0:29,Broncos,Brandon McManus 41 yard field goal,20,10
