Unnamed: 0,DEN,JAX
First Downs,10,19
Rush-Yds-TDs,28-104-1,38-154-1
Cmp-Att-Yd-TD-INT,12-24-104-0-0,19-42-181-0-2
Sacked-Yards,2-2,1-2
Net Pass Yards,102,179
Total Yards,206,333
Fumbles-Lost,0-0,1-1
Turnovers,0,3
Penalties-Yards,4-32,6-65
Third Down Conv.,1-13,6-18
Fourth Down Conv.,0-0,1-2
Time of Possession,25:26,34:34
