Quarter,Time,Tm,Detail,NYG,DAL
1.0,11:20,Cowboys,Greg Zuerlein 24 yard field goal,0,3
,6:53,Giants,Evan Engram 3 yard rush (Graham Gano kick),7,3
,5:48,Giants,Kyler Fackrell 46 yard interception return (Graham Gano kick),14,3
2.0,13:30,Giants,Graham Gano 55 yard field goal,17,3
,6:31,Cowboys,Ezekiel Elliott 1 yard rush (Greg Zuerlein kick),17,10
,5:00,Cowboys,Anthony Brown 29 yard fumble return (Greg Zuerlein kick),17,17
,0:51,Giants,Graham Gano 50 yard field goal,20,17
,0:16,Cowboys,Dak Prescott 11 yard pass from Cedrick Wilson Jr. (Greg Zuerlein kick),20,24
3.0,9:25,Giants,Graham Gano 54 yard field goal,23,24
,5:03,Cowboys,Ezekiel Elliott 12 yard rush (Greg Zuerlein kick),23,31
4.0,11:09,Giants,Graham Gano 28 yard field goal,26,31
,8:46,Giants,Devonta Freeman 4 yard rush (Andrew Thomas pass from Daniel Jones),34,31
,1:56,Cowboys,Greg Zuerlein 40 yard field goal,34,34
,0:00,Cowboys,Greg Zuerlein 34 yard field goal,34,37
