Unnamed: 0,NYG,DAL
First Downs,20,28
Rush-Yds-TDs,27-89-2,29-126-2
Cmp-Att-Yd-TD-INT,20-33-222-0-0,24-33-288-1-1
Sacked-Yards,2-11,2-12
Net Pass Yards,211,276
Total Yards,300,402
Fumbles-Lost,1-1,1-1
Turnovers,1,2
Penalties-Yards,8-81,3-25
Third Down Conv.,7-13,5-9
Fourth Down Conv.,0-0,0-0
Time of Possession,32:22,27:38
