Quarter,Time,Tm,Detail,WAS,CAR
1.0,13:54,Redskins,Clinton Portis 10 yard pass from Jason Campbell (Shaun Suisham kick),7,0
2.0,8:21,Panthers,"Safety, Clinton Portis tackled in end zone by Thomas Davis.",7,2
,1:45,Redskins,Shaun Suisham 38 yard field goal,10,2
3.0,10:06,Redskins,Clinton Portis 1 yard rush (Shaun Suisham kick),17,2
,8:31,Panthers,Jeff King 17 yard pass from Jake Delhomme (John Kasay kick),17,9
4.0,14:15,Panthers,John Kasay 43 yard field goal,17,12
,9:21,Panthers,Jonathan Stewart 8 yard rush (Steve Smith Sr. pass from Jake Delhomme),17,20
