Unnamed: 0,WAS,CAR
First Downs,15,16
Rush-Yds-TDs,24-74-1,32-86-1
Cmp-Att-Yd-TD-INT,17-23-145-1-0,16-25-181-1-1
Sacked-Yards,5-21,3-19
Net Pass Yards,124,162
Total Yards,198,248
Fumbles-Lost,3-1,4-1
Turnovers,1,2
Penalties-Yards,4-20,5-27
Third Down Conv.,2-9,4-12
Fourth Down Conv.,0-1,0-1
Time of Possession,28:43,31:17
