Quarter,Time,Down,ToGo,Location,NWE,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss, Patriots to receive the opening kickoff.",,
1,15:00,,,MIN 30,0,0,"Ryan Longwell kicks off 60 yards, returned by Laurence Maroney for 14 yards (tackle by Antoine Winfield). Penalty on David Thomas: Offensive Holding, 10 yards",0.000,-0.280
1,14:55,1,10,NWE 14,0,0,Tom Brady pass complete short middle to Ben Watson for 8 yards (tackle by Darren Sharper),-0.280,0.420
1,14:19,2,2,NWE 22,0,0,Corey Dillon left end for -8 yards (tackle by Dwight Smith and Pat Williams),0.420,-1.400
1,13:36,3,10,NWE 14,0,0,Tom Brady pass complete deep middle to Doug Gabriel for 45 yards (tackle by Dwight Smith),-1.400,2.850
1,12:53,1,10,MIN 41,0,0,Tom Brady pass complete short middle to Doug Gabriel for 16 yards (tackle by Napoleon Harris),2.850,3.910
1,12:13,1,10,MIN 25,0,0,Tom Brady pass complete short right to Troy Brown for 5 yards (tackle by E.J. Henderson),3.910,4.040
1,11:52,2,5,MIN 20,0,0,Tom Brady pass complete short middle to Ben Watson for 14 yards (tackle by E.J. Henderson),4.040,5.830
1,11:13,1,6,MIN 6,6,0,"Tom Brady pass complete short right to Reche Caldwell for 6 yards, touchdown",5.830,7.000
1,,,,MIN 2,7,0,Stephen Gostkowski kicks extra point good,0.000,0.000
1,,,,NWE 30,7,0,"Stephen Gostkowski kicks off 58 yards, returned by Bethel Johnson for 23 yards (tackle by Eric Alexander)",0.000,1.270
1,11:01,1,10,MIN 35,7,0,Brad Johnson pass complete short right to Jermaine Wiggins for 10 yards (tackle by Mike Vrabel),1.270,1.930
1,10:23,1,10,MIN 45,7,0,Brad Johnson pass incomplete short right intended for Bethel Johnson,1.930,1.380
1,10:16,2,10,MIN 45,7,0,Brad Johnson pass complete short right to Bethel Johnson for 15 yards (tackle by Chad Scott),1.380,2.920
1,9:36,1,10,NWE 40,7,0,Chester Taylor left tackle for no gain (tackle by Rosevelt Colvin),2.920,2.370
1,9:02,2,10,NWE 40,7,0,Chester Taylor right tackle for -1 yards (tackle by Junior Seau),2.370,1.550
1,8:19,3,11,NWE 41,7,0,Brad Johnson pass incomplete short right intended for Mewelde Moore,1.550,0.530
1,8:15,4,11,NWE 41,7,0,"Chris Kluwe punts 41 yards, touchback. Penalty on Mike Vrabel: Offensive Holding, 10 yards",0.530,0.380
1,8:07,1,10,NWE 10,7,0,Tom Brady pass complete short left to Doug Gabriel for 6 yards (tackle by Fred Smoot),-0.380,-0.230
1,7:27,2,4,NWE 16,7,0,Tom Brady pass incomplete short right intended for Ben Watson,-0.230,-0.720
1,7:23,3,4,NWE 16,7,0,Tom Brady pass incomplete deep right intended for Ben Watson is intercepted by Darren Sharper at NWE-45,-0.720,-2.590
1,7:14,1,10,NWE 45,7,0,Brad Johnson pass complete short right to Bethel Johnson for 3 yards,2.590,2.450
1,6:45,2,7,NWE 42,7,0,Chester Taylor left guard for 3 yards (tackle by Rosevelt Colvin),2.450,2.150
1,6:06,3,4,NWE 39,7,0,Brad Johnson pass complete short left to Troy Williamson for 4 yards (tackle by Asante Samuel),2.150,3.250
1,5:35,1,10,NWE 35,7,0,Brad Johnson pass incomplete deep middle intended for Bethel Johnson (defended by Asante Samuel),3.250,2.700
1,5:28,2,10,NWE 35,7,0,Chester Taylor middle for 2 yards (tackle by Ty Warren),2.700,2.280
1,4:47,3,8,NWE 33,7,0,Brad Johnson pass complete short right to Tony Richardson for 8 yards (tackle by Artrell Hawkins),2.280,3.910
1,4:09,1,10,NWE 25,7,0,Brad Johnson pass complete short right to Chester Taylor for 5 yards (tackle by Mike Vrabel),3.910,4.040
1,3:28,2,5,NWE 20,7,0,Chester Taylor left tackle for 4 yards (tackle by Rosevelt Colvin),4.040,4.060
1,2:47,3,1,NWE 16,7,0,Chester Taylor left guard for 6 yards (tackle by Chad Scott),4.060,4.910
1,2:05,1,10,NWE 10,7,0,Artose Pinner middle for 4 yards (tackle by Rodney Harrison),4.910,4.950
1,1:27,2,6,NWE 6,7,0,Artose Pinner middle for 1 yard (tackle by Jarvis Green),4.950,4.260
1,0:42,3,5,NWE 5,7,0,Brad Johnson pass incomplete short right intended for Mewelde Moore is intercepted by Rodney Harrison at NWE-0 and returned for 2 yards,4.260,0.380
1,0:36,1,10,NWE 2,7,0,Tom Brady pass complete short middle to Doug Gabriel for 9 yards (tackle by Antoine Winfield),-0.380,-0.120
Quarter,Time,Down,ToGo,Location,NWE,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,1,NWE 11,7,0,"Penalty on Kevin Williams: Encroachment, 5 yards (no play)",-0.120,-0.140
2,15:00,1,10,NWE 16,7,0,Tom Brady pass complete deep middle to Ben Watson for 40 yards (tackle by Dwight Smith). Penalty on Fred Smoot: Illegal Use of Hands (Declined),-0.140,2.650
2,14:40,1,10,MIN 44,7,0,Tom Brady pass complete short left to Laurence Maroney for 20 yards (tackle by Dwight Smith),2.650,3.970
2,13:48,1,10,MIN 24,7,0,Corey Dillon left tackle for 15 yards (tackle by Dwight Smith),3.970,5.140
2,13:05,1,9,MIN 9,7,0,"Tom Brady pass incomplete short middle intended for Troy Brown. Penalty on Ronyell Whitaker: Defensive Holding, 4 yards (no play)",5.140,6.060
2,13:01,1,5,MIN 5,7,0,Laurence Maroney right guard for no gain (tackle by Kenechi Udeze),6.060,5.150
2,12:24,2,5,MIN 5,7,0,Tom Brady pass incomplete short left intended for Reche Caldwell,5.150,4.260
2,12:18,3,5,MIN 5,7,0,Tom Brady pass incomplete short right intended for Ben Watson,4.260,3.010
2,12:12,4,5,MIN 5,10,0,Stephen Gostkowski 23 yard field goal good,3.010,3.000
2,,,,NWE 30,10,0,"Stephen Gostkowski kicks off 65 yards, returned by Bethel Johnson for 16 yards (tackle by Willie Andrews)",0.000,0.340
2,12:02,1,10,MIN 21,10,0,Brad Johnson pass complete short right to Troy Williamson for 11 yards (tackle by Chad Scott and Asante Samuel),0.340,1.070
2,11:19,1,10,MIN 32,10,0,Brad Johnson pass complete short right to Chester Taylor for 2 yards (tackle by Mike Vrabel),1.070,0.800
2,10:40,2,8,MIN 34,10,0,Brad Johnson pass complete short left to Tony Richardson for 1 yard (tackle by Rosevelt Colvin),0.800,0.230
2,9:55,3,7,MIN 35,10,0,Brad Johnson pass incomplete deep middle intended for Troy Williamson is intercepted by Chad Scott at NWE-29,0.230,-0.870
2,9:45,1,10,NWE 29,10,0,Tom Brady pass complete short left to David Thomas for 12 yards (tackle by E.J. Henderson),0.870,1.660
2,9:09,1,10,NWE 41,10,0,Tom Brady pass complete short left to Reche Caldwell for 11 yards (tackle by Fred Smoot),1.660,2.390
2,8:27,1,10,MIN 48,10,0,Laurence Maroney middle for -2 yards (tackle by Pat Williams),2.390,1.580
2,7:49,2,12,MIN 50,10,0,Tom Brady pass complete short left to Jabar Gaffney for 4 yards (tackle by Darren Sharper),1.580,1.420
2,7:08,3,8,MIN 46,10,0,Tom Brady pass incomplete intended for Kevin Faulk,1.420,0.200
2,7:03,4,8,MIN 46,10,0,"Josh Miller punts 46 yards, touchback",0.200,-0.280
2,6:55,1,10,MIN 20,10,0,Chester Taylor right guard for 1 yard (tackle by Ty Warren),0.280,-0.130
2,6:16,2,9,MIN 21,10,0,Brad Johnson pass complete short left to Troy Williamson for 6 yards (tackle by Asante Samuel),-0.130,-0.030
2,5:31,3,3,MIN 27,10,0,"Brad Johnson pass complete short right to Travis Taylor for 8 yards (tackle by Chad Scott). Penalty on Travis Taylor: Offensive Pass Interfere, 10 yards (no play)",-0.030,-1.510
2,5:05,3,13,MIN 17,10,0,Brad Johnson pass complete short middle to Mewelde Moore for 10 yards (tackle by Mike Vrabel),-1.510,-1.570
2,4:31,4,3,MIN 27,10,0,"Chris Kluwe punts 51 yards, returned by Kevin Faulk for 4 yards (tackle by Ronyell Whitaker)",-1.570,-0.670
2,4:22,1,10,NWE 26,10,0,Tom Brady sacked by Jayme Mitchell for -2 yards,0.670,-0.140
2,3:47,,,,10,0,Timeout #1 by New England Patriots,0.000,-0.140
2,3:47,2,12,NWE 24,10,0,Tom Brady pass incomplete deep left intended for Troy Brown,-0.140,-0.820
2,3:43,3,12,NWE 24,10,0,Tom Brady pass complete short left to Reche Caldwell for 34 yards (tackle by Fred Smoot),-0.820,2.790
2,2:53,1,10,MIN 42,10,0,Laurence Maroney middle for 22 yards (tackle by Cedric Griffin),2.790,4.240
2,2:29,1,10,MIN 20,10,0,Tom Brady pass incomplete short left intended for Doug Gabriel,4.240,3.690
2,2:25,2,10,MIN 20,10,0,Tom Brady pass incomplete short left intended for Ben Watson,3.690,3.010
2,2:20,3,10,MIN 20,10,0,Tom Brady pass complete short left to Reche Caldwell for 12 yards (tackle by E.J. Henderson),3.010,5.370
2,2:00,1,8,MIN 8,10,0,"Laurence Maroney middle for 2 yards (tackle by Darren Sharper). Penalty on Heath Evans: Offensive Holding, 10 yards",5.370,4.310
2,1:54,1,16,MIN 16,10,0,Tom Brady pass complete short right to Kevin Faulk for 6 yards (tackle by Ronyell Whitaker),4.310,4.190
2,1:14,2,10,MIN 10,10,0,Tom Brady middle for 1 yard (tackle by Darrion Scott),4.190,3.360
2,0:31,,,,10,0,Timeout #2 by New England Patriots,0.000,3.360
2,0:31,3,9,MIN 9,16,0,"Tom Brady pass complete short right to Ben Watson for 9 yards, touchdown",3.360,7.000
2,,,,MIN 2,17,0,Stephen Gostkowski kicks extra point good,0.000,0.000
