Quarter,Time,Tm,Detail,NWE,MIN
1.0,11:07,Patriots,Reche Caldwell 6 yard pass from Tom Brady (Stephen Gostkowski kick),7,0
2.0,12:09,Patriots,Stephen Gostkowski 23 yard field goal,10,0
,0:25,Patriots,Ben Watson 9 yard pass from Tom Brady (Stephen Gostkowski kick),17,0
3.0,10:36,Vikings,Mewelde Moore 71 yard punt return (Ryan Longwell kick),17,7
,9:03,Patriots,Troy Brown 7 yard pass from Tom Brady (Stephen Gostkowski kick),24,7
,0:05,Patriots,Chad Jackson 10 yard pass from Tom Brady (Stephen Gostkowski kick),31,7
