Unnamed: 0,NWE,MIN
First Downs,25,17
Rush-Yds-TDs,15-85-0,15-45-0
Cmp-Att-Yd-TD-INT,29-43-372-4-1,26-42-261-0-4
Sacked-Yards,3-27,4-22
Net Pass Yards,345,239
Total Yards,430,284
Fumbles-Lost,3-1,1-0
Turnovers,2,4
Penalties-Yards,9-85,6-39
Third Down Conv.,4-11,5-14
Fourth Down Conv.,0-1,0-2
Time of Possession,29:45,30:15
