Unnamed: 0,IND,BUF
First Downs,27,22
Rush-Yds-TDs,30-163-1,21-96-1
Cmp-Att-Yd-TD-INT,27-46-309-2-0,26-35-324-2-0
Sacked-Yards,0-0,2-23
Net Pass Yards,309,301
Total Yards,472,397
Fumbles-Lost,1-0,1-0
Turnovers,0,0
Penalties-Yards,2-10,2-7
Third Down Conv.,9-17,2-9
Fourth Down Conv.,2-4,0-0
Time of Possession,34:17,25:43
