Quarter,Time,Down,ToGo,Location,IND,BUF,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bills won the coin toss and deferred, Colts to receive the opening kickoff.",,
1,15:00,,,BUF 35,0,0,"Tyler Bass kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,IND 25,0,0,Philip Rivers pass complete short left to T.Y. Hilton for 9 yards (tackle by Tre'Davious White),0.610,1.280
1,14:29,2,1,IND 34,0,0,Jonathan Taylor left guard for 3 yards (tackle by Mario Addison),1.280,1.400
1,14:01,1,10,IND 37,0,0,Jonathan Taylor left guard for 2 yards (tackle by Tremaine Edmunds),1.400,1.130
1,13:29,2,8,IND 39,0,0,Philip Rivers pass complete short right to Michael Pittman for 6 yards (tackle by Levi Wallace),1.130,1.220
1,12:51,3,2,IND 45,0,0,Jonathan Taylor up the middle for 4 yards (tackle by Tre'Davious White),1.220,2.190
1,12:14,1,10,IND 49,0,0,Jonathan Taylor up the middle for 12 yards (tackle by Jerry Hughes),2.190,2.980
1,11:34,1,10,BUF 39,0,0,Jonathan Taylor left guard for -1 yards (tackle by Mario Addison and Matt Milano),2.980,2.300
1,10:56,2,11,BUF 40,0,0,Philip Rivers pass incomplete short left intended for Michael Pittman (defended by Matt Milano),2.300,1.620
1,10:53,3,11,BUF 40,0,0,Philip Rivers pass incomplete deep left intended for T.Y. Hilton (defended by Micah Hyde),1.620,0.590
1,10:48,4,11,BUF 40,0,0,Rigoberto Sanchez punts 37 yards downed by Ashton Dulin,0.590,0.380
1,10:38,1,10,BUF 3,0,0,Zack Moss up the middle for 3 yards (tackle by Darius Leonard and Denico Autry),-0.380,-0.560
1,10:04,2,7,BUF 6,0,0,Josh Allen pass complete short left to Cole Beasley for 4 yards (tackle by Kenny Moore),-0.560,-0.600
1,9:24,3,3,BUF 10,0,0,Josh Allen pass incomplete deep right intended for John Brown,-0.600,-2.490
1,9:17,4,3,BUF 10,0,0,"Corey Bojorquez punts 54 yards, fair catch by Nyheim Hines at IND-36",-2.490,-1.330
1,9:08,1,10,IND 36,0,0,Nyheim Hines up the middle for 4 yards (tackle by A.J. Epenesa and Harrison Phillips),1.330,1.330
1,8:32,2,6,IND 40,0,0,Philip Rivers pass incomplete short left intended for Nyheim Hines,1.330,0.630
1,8:29,3,6,IND 40,0,0,Philip Rivers pass complete deep middle to T.Y. Hilton for 23 yards (tackle by Levi Wallace). Penalty on Matt Milano: Defensive Offside (Declined),0.630,3.120
1,8:15,1,10,BUF 37,0,0,Philip Rivers pass complete deep left to Michael Pittman for 22 yards (tackle by Tre'Davious White),3.120,4.580
1,7:28,1,10,BUF 15,0,0,Jonathan Taylor right guard for 2 yards (tackle by Tremaine Edmunds),4.580,4.280
