Quarter,Time,Tm,Detail,IND,BUF
1.0,5:29,Colts,Rodrigo Blankenship 30 yard field goal,3,0
,1:49,Bills,Dawson Knox 3 yard pass from Josh Allen (Tyler Bass kick),3,7
2.0,8:07,Colts,Jonathan Taylor 1 yard rush (Rodrigo Blankenship kick),10,7
,0:14,Bills,Josh Allen 5 yard rush (Tyler Bass kick),10,14
3.0,11:05,Bills,Tyler Bass 46 yard field goal,10,17
4.0,14:10,Bills,Stefon Diggs 35 yard pass from Josh Allen (Tyler Bass kick),10,24
,11:32,Colts,Zach Pascal 9 yard pass from Philip Rivers (run failed),16,24
,8:08,Bills,Tyler Bass 54 yard field goal,16,27
,6:13,Colts,Jack Doyle 27 yard pass from Philip Rivers (Jack Doyle pass from Philip Rivers),24,27
