Quarter,Time,Down,ToGo,Location,LAR,NYJ,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jets won the coin toss and deferred, Rams to receive the opening kickoff.",,
1,15:00,,,NYJ 35,0,0,"Nick Folk kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,LAR 25,0,0,Todd Gurley middle for no gain (tackle by David Harris),0.610,0.060
1,14:15,2,10,LAR 25,0,0,Todd Gurley right guard for 1 yard (tackle by Lorenzo Mauldin),0.060,-0.490
1,13:50,3,9,LAR 26,0,0,Case Keenum pass complete short left to Kenny Britt for 12 yards,-0.490,1.470
1,13:21,1,10,LAR 38,0,0,Tavon Austin middle for 6 yards (tackle by Sheldon Richardson),1.470,1.730
1,12:45,2,4,LAR 44,0,0,Case Keenum pass incomplete short left intended for Kenny Britt,1.730,1.020
1,12:42,3,4,LAR 44,0,0,Case Keenum pass complete short left to Kenny Britt for 6 yards (tackle by Darrelle Revis),1.020,2.260
1,12:10,1,10,,0,0,Case Keenum pass complete short left to Kenny Britt for 25 yards,2.260,3.910
1,11:34,1,10,NYJ 25,0,0,Benny Cunningham right end for 24 yards (tackle by Marcus Gilchrist),3.910,6.970
1,11:09,1,1,NYJ 1,0,0,"Benny Cunningham middle for -1 yards (tackle by Calvin Pryor). Benny Cunningham fumbles (forced by Calvin Pryor), recovered by Benny Cunningham at NYJ-2",6.970,5.720
1,10:24,2,2,NYJ 2,0,0,Case Keenum pass complete short right to Lance Kendricks for no gain,5.720,4.950
1,9:40,3,2,NYJ 2,0,0,Case Keenum pass incomplete short left intended for Benny Cunningham,4.950,3.250
1,9:38,4,2,NYJ 2,3,0,Greg Zuerlein 20 yard field goal good,3.250,3.000
1,9:37,,,LAR 35,3,0,"Greg Zuerlein kicks off 66 yards, returned by C.J. Spiller for 20 yards (tackle by Chase Reynolds)",0.000,-0.150
1,9:32,1,10,NYJ 19,3,0,Matt Forte right tackle for 5 yards (tackle by William Hayes),0.150,0.340
1,8:52,2,5,NYJ 24,3,0,Matt Forte right tackle for 1 yard (tackle by Aaron Donald and Lamarcus Joyner),0.340,-0.290
1,8:21,3,4,NYJ 25,3,0,"Penalty on NYJ: Illegal Substitution, 5 yards (no play)",-0.290,-0.940
1,8:03,3,9,NYJ 20,3,0,Bryce Petty pass complete short left to Robby Anderson for 8 yards (tackle by Troy Hill),-0.940,-1.500
,,,,,,,"challenged the first down ruling, and the original play was overturned.",,
1,7:26,4,1,NYJ 28,3,0,"Lac Edwards punts 51 yards, returned by Tavon Austin for 11 yards (tackle by Antonio Allen)",-1.500,-1.070
1,7:14,1,10,LAR 32,3,0,Todd Gurley left guard for 3 yards (tackle by David Harris and Sheldon Richardson),1.070,0.930
1,6:36,2,7,LAR 35,3,0,Case Keenum pass incomplete short right intended for Tavon Austin,0.930,0.230
1,6:31,3,7,LAR 35,3,0,Case Keenum pass complete short left to Kenny Britt for 9 yards (tackle by Darrelle Revis),0.230,1.860
1,5:53,1,10,LAR 44,3,0,Todd Gurley middle for no gain (tackle by Leonard Williams),1.860,1.320
1,5:14,2,10,LAR 44,3,0,Case Keenum pass complete short right to Brian Quick for 6 yards (tackle by David Harris),1.320,1.420
1,4:35,3,4,,3,0,Case Keenum pass complete short left to Brian Quick for 10 yards (tackle by Buster Skrine),1.420,2.920
1,4:04,1,10,NYJ 40,3,0,Todd Gurley left guard for 9 yards (tackle by David Harris),2.920,3.590
1,3:25,2,1,NYJ 31,3,0,Todd Gurley middle for -1 yards (tackle by Steve McLendon),3.590,2.740
1,2:45,3,2,NYJ 32,3,0,Todd Gurley left end for -6 yards (tackle by Sheldon Richardson),2.740,0.720
1,2:45,4,8,NYJ 38,3,0,"Penalty on Johnny Hekker: Delay of Game, 5 yards (no play)",0.720,0.400
1,1:50,4,13,NYJ 43,3,0,Johnny Hekker punts 42 yards,0.400,0.380
1,1:41,1,10,NYJ 1,3,0,Matt Forte middle for 1 yard (tackle by Eugene Sims),-0.380,-0.710
1,1:05,2,9,NYJ 2,3,0,Bryce Petty pass complete deep left to Robby Anderson for 52 yards (tackle by E.J. Gaines),-0.710,2.520
1,0:34,1,10,LAR 46,3,0,C.J. Spiller middle for 4 yards (tackle by Lamarcus Joyner),2.520,2.520
Quarter,Time,Down,ToGo,Location,LAR,NYJ,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,LAR 42,3,0,Bilal Powell left tackle for 3 yards (tackle by T.J. McDonald and Aaron Donald),2.520,2.210
2,14:21,3,3,LAR 39,3,0,Bryce Petty pass complete short right to Brandon Marshall for 6 yards (tackle by E.J. Gaines),2.210,3.380
2,13:52,1,10,LAR 33,3,0,Matt Forte left guard for 28 yards (tackle by Maurice Alexander). Penalty on Robert Quinn: Defensive Offside (Declined),3.380,6.060
2,13:23,1,5,LAR 5,3,0,Matt Forte right tackle for 1 yard (tackle by Lamarcus Joyner),6.060,5.340
2,12:45,2,4,LAR 4,3,0,Bryce Petty pass incomplete short middle intended for Matt Forte,5.340,4.490
2,12:40,3,4,LAR 4,3,6,"Bryce Petty pass complete short left to Brandon Marshall for -6 yards, lateral to Bilal Powell for 4 yards, touchdown",4.490,7.000
2,12:35,,,LAR 15,3,6,Nick Folk kicks extra point no good,0.000,-1.000
2,12:35,,,NYJ 35,3,6,"Nick Folk kicks off 67 yards, returned by Benny Cunningham for 18 yards (tackle by Antonio Allen)",0.000,0.140
2,12:31,1,10,LAR 16,3,6,"Case Keenum pass complete deep left to Kenny Britt for 46 yards (tackle by Darrelle Revis). Penalty on Kenny Britt: Delay of Game, 5 yards",-0.140,2.720
2,11:53,1,10,NYJ 43,3,6,Todd Gurley right tackle for 2 yards (tackle by Leonard Williams and Julian Stanford),2.720,2.450
2,11:10,2,8,NYJ 41,3,6,Todd Gurley left tackle for no gain (tackle by David Harris and Sheldon Richardson),2.450,1.750
2,10:25,3,8,NYJ 41,3,6,Case Keenum sacked by Darron Lee and David Harris for -6 yards,1.750,0.130
2,9:50,4,14,NYJ 47,3,6,"Johnny Hekker punts 33 yards, fair catch by Jalin Marshall",0.130,0.280
2,9:43,1,10,NYJ 14,3,6,Matt Forte right tackle for 4 yards (tackle by Alec Ogletree),-0.280,-0.210
2,9:05,2,6,NYJ 18,3,6,Bryce Petty pass incomplete short right intended for Brandon Marshall,-0.210,-0.920
2,9:02,3,6,NYJ 18,3,6,Bryce Petty pass complete short left to Quincy Enunwa for 7 yards (tackle by Troy Hill),-0.920,0.610
2,8:33,1,10,NYJ 25,3,6,Bryce Petty pass complete short left to Robby Anderson for 9 yards (tackle by E.J. Gaines),0.610,1.280
2,7:55,2,1,NYJ 34,3,6,Matt Forte left end for -1 yards (tackle by Mark Barron),1.280,0.430
2,7:16,3,2,NYJ 33,3,6,"Bryce Petty pass incomplete short right intended for Brandon Marshall. Penalty on Lamarcus Joyner: Defensive Holding, 5 yards (no play)",0.430,1.470
2,7:10,1,10,NYJ 38,3,6,Matt Forte left end for no gain (tackle by Eugene Sims),1.470,0.920
2,6:36,2,10,NYJ 38,3,6,Matt Forte middle for no gain (tackle by Alec Ogletree),0.920,0.230
2,5:57,3,10,NYJ 38,3,6,Matt Forte middle for 2 yards (tackle by William Hayes),0.230,-0.720
2,5:24,4,8,NYJ 40,3,6,"Lac Edwards punts 54 yards, returned by Tavon Austin for 12 yards (tackle by Julian Stanford)",-0.720,-0.040
2,5:09,1,10,LAR 18,3,6,Case Keenum pass incomplete deep left intended for Tavon Austin,0.040,-0.490
2,5:04,2,10,LAR 18,3,6,Todd Gurley middle for 2 yards (tackle by Julian Stanford),-0.490,-0.910
2,4:24,3,8,LAR 20,3,6,Case Keenum sacked by Lorenzo Mauldin and Steve McLendon for -3 yards,-0.910,-2.320
2,3:49,4,11,LAR 17,3,6,"Johnny Hekker punts 59 yards, muffed catch by Jalin Marshall, recovered by Jalin Marshall and returned for -2 yards (tackle by Josh Forrest). Penalty on Nick Marshall: Illegal Block Above the Waist, 10 yards",-2.320,0.380
2,3:33,1,10,NYJ 10,3,6,"Matt Forte middle for 4 yards (tackle by Alec Ogletree). Penalty on Michael Brockers: Illegal Use of Hands, 5 yards",-0.380,0.150
2,3:20,1,10,NYJ 19,3,6,Bilal Powell left end for 3 yards (tackle by Alec Ogletree and Robert Quinn),0.150,0.070
2,2:40,2,7,NYJ 22,3,6,Bilal Powell left end for 14 yards (tackle by T.J. McDonald and Troy Hill),0.070,1.330
2,2:00,1,10,NYJ 36,3,6,Bryce Petty pass complete to Bilal Powell for 2 yards (tackle by Alec Ogletree),1.330,1.060
2,1:54,2,8,NYJ 38,3,6,Bryce Petty sacked by William Hayes for -6 yards,1.060,-0.430
2,1:11,3,14,NYJ 32,3,6,Bryce Petty pass incomplete deep right intended for Robby Anderson,-0.430,-1.240
2,1:06,4,14,NYJ 32,3,6,"Lac Edwards punts 48 yards, returned by Tavon Austin for no gain",-1.240,-0.280
2,0:56,1,10,LAR 20,3,6,Case Keenum pass complete short right to Benny Cunningham for 4 yards (tackle by Julian Stanford),0.280,0.270
2,0:51,2,6,LAR 24,3,6,Case Keenum pass incomplete short right intended for Brian Quick (defended by Darryl Roberts),0.270,-0.430
2,0:46,3,6,LAR 24,3,6,Case Keenum pass incomplete short right intended for Brian Quick,-0.430,-1.770
2,0:43,4,6,LAR 24,3,6,"Johnny Hekker punts 45 yards, returned by Nick Marshall for no gain",-1.770,-1.000
2,0:33,1,10,NYJ 31,3,6,Bryce Petty pass complete short left to Matt Forte for 4 yards (tackle by Troy Hill),1.000,1.000
2,0:26,2,6,NYJ 35,3,6,"Bryce Petty pass complete short right to Charone Peake for 4 yards (tackle by Trumaine Johnson). Penalty on Ben Ijalana: Illegal Use of Hands, 11 yards (no play)",1.000,0.000
2,0:26,,,,3,6,Timeout #1 by New York Jets,0.000,0.490
2,0:20,2,17,NYJ 24,3,6,Matt Forte for 15 yards (tackle by Alec Ogletree),-0.490,0.830
2,0:15,3,2,NYJ 39,3,6,Bryce Petty pass complete short left to Brandon Marshall for 6 yards (tackle by Trumaine Johnson),0.830,1.930
2,0:11,1,10,NYJ 45,3,6,Bryce Petty pass incomplete,1.930,1.380
2,0:07,2,10,NYJ 45,3,6,Bilal Powell left guard for 17 yards (tackle by Dominique Easley),1.380,3.050
Quarter,Time,Down,ToGo,Location,LAR,NYJ,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAR 35,3,6,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,NYJ 25,3,6,Matt Forte right end for -1 yards (tackle by Michael Brockers),0.610,-0.070
3,14:25,2,11,NYJ 24,3,6,Bryce Petty pass incomplete short right intended for Quincy Enunwa,-0.070,-0.760
3,14:21,3,11,NYJ 24,3,6,Bryce Petty pass complete short left to Brandon Marshall for 3 yards (tackle by Maurice Alexander),-0.760,-1.570
3,13:33,4,8,NYJ 27,3,6,"Lac Edwards punts 59 yards, returned by Tavon Austin for 15 yards (tackle by Jordan Jenkins)",-1.570,-0.870
3,13:33,1,10,LAR 29,3,6,Case Keenum pass incomplete short right intended for Lance Kendricks (defended by David Harris),0.870,0.330
3,13:29,2,10,LAR 29,3,6,Tavon Austin right guard for 4 yards (tackle by Calvin Pryor and Sheldon Richardson),0.330,0.170
3,12:54,3,6,LAR 33,3,6,Case Keenum pass complete short right to Kenny Britt for 3 yards (tackle by Buster Skrine),0.170,-0.980
3,12:20,4,3,LAR 36,3,6,"Johnny Hekker punts 52 yards, returned by Jalin Marshall for -2 yards (tackle by Bryce Hager). Penalty on NYJ: Illegal Block Above the Waist, 5 yards",-0.980,0.380
3,12:10,1,10,NYJ 5,3,6,Matt Forte middle for 5 yards (tackle by Mark Barron),-0.380,-0.420
3,11:31,2,5,NYJ 10,3,6,Bryce Petty pass complete short right to Bilal Powell for 8 yards (tackle by Ethan Westbrooks and Alec Ogletree),-0.420,0.040
3,10:48,1,10,NYJ 18,3,6,Matt Forte middle for 23 yards (tackle by T.J. McDonald),0.040,1.660
