Quarter,Time,Tm,Detail,LAR,NYJ
1,9:37,Rams,Greg Zuerlein 20 yard field goal,3,0
2,12:35,Jets,Bilal Powell 4 yard pass from Bryce Petty (Nick Folk kick failed),3,6
3,0:20,Rams,Greg Zuerlein 38 yard field goal,6,6
4,6:52,Rams,Greg Zuerlein 34 yard field goal,9,6
