Quarter,Time,Down,ToGo,Location,LAR,NOR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss and deferred, Saints to receive the opening kickoff.",,
1,15:00,,,LAR 35,0,0,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,NOR 25,0,0,Drew Brees pass incomplete short right,0.610,0.060
1,14:56,2,10,NOR 25,0,0,Alvin Kamara right guard for 2 yards (tackle by Ndamukong Suh),0.060,-0.360
1,14:16,3,8,NOR 27,0,0,Drew Brees pass complete short left to Ted Ginn for 9 yards (tackle by Marcus Peters),-0.360,1.330
1,13:44,1,10,NOR 36,0,0,Mark Ingram right guard for 9 yards (tackle by John Johnson and Mark Barron),1.330,2.010
1,13:09,2,1,NOR 45,0,0,Mark Ingram right guard for -2 yards (tackle by Dante Fowler and Marcus Peters),2.010,1.030
1,12:31,3,3,NOR 43,0,0,Drew Brees pass complete short right to Alvin Kamara for 21 yards (tackle by John Franklin-Myers),1.030,3.180
1,11:53,1,10,LAR 36,0,0,Drew Brees pass complete short middle to Alvin Kamara for 14 yards (tackle by Mark Barron),3.180,4.110
1,11:08,1,10,LAR 22,0,0,Drew Brees pass incomplete short left,4.110,3.560
1,11:02,2,10,LAR 22,0,0,Drew Brees pass complete short right to Michael Thomas for 3 yards (tackle by Aqib Talib),3.560,3.260
1,10:12,,,,,,Timeout #1 by New Orleans Saints,,
1,10:12,3,7,LAR 19,0,0,Drew Brees pass incomplete deep middle intended for Dan Arnold,3.260,2.180
1,10:07,4,7,LAR 19,0,3,Wil Lutz 37 yard field goal good,2.180,3.000
1,10:04,,,NOR 35,0,3,"Wil Lutz kicks off 62 yards, returned by Jojo Natson for no gain (tackle by Vonn Bell). Penalty on Marqui Christian: Illegal Block Above the Waist, 10 yards",0.000,-0.380
1,9:58,1,10,LAR 10,0,3,Jared Goff pass complete short right to Robert Woods for 7 yards (tackle by P.J. Williams),-0.380,-0.090
1,9:26,2,3,LAR 17,0,3,Todd Gurley left tackle for -4 yards (tackle by Demario Davis),-0.090,-1.070
1,8:42,3,7,LAR 13,0,3,Jared Goff pass short middle intended for Todd Gurley is intercepted by Demario Davis at LA-17 and returned for 1 yard,-1.070,-4.510
1,8:35,1,10,LAR 16,0,3,Mark Ingram left tackle for 1 yard (tackle by Cory Littleton),4.510,4.050
1,7:55,2,9,LAR 15,0,3,Drew Brees pass incomplete short right intended for Tre'Quan Smith,4.050,3.220
1,7:50,3,9,LAR 15,0,3,Drew Brees pass complete short right to Alvin Kamara for 5 yards (tackle by Cory Littleton),3.220,2.840
1,7:10,4,4,LAR 10,0,6,Wil Lutz 29 yard field goal good,2.840,3.000
1,7:06,,,NOR 35,0,6,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
1,7:06,1,10,LAR 25,0,6,Jared Goff pass complete short left to Robert Woods for no gain (tackle by A.J. Klein),0.610,0.060
1,6:22,2,10,LAR 25,0,6,Todd Gurley left guard for 2 yards (tackle by Tyeler Davison),0.060,-0.360
1,5:39,3,8,LAR 27,0,6,Jared Goff pass incomplete deep middle intended for Robert Woods,-0.360,-1.570
