Quarter,Time,Tm,Detail,LAR,NOR
1,10:04,Saints,Wil Lutz 37 yard field goal,0,3
,7:06,Saints,Wil Lutz 29 yard field goal,0,6
,1:35,Saints,Garrett Griffin 5 yard pass from Drew Brees (Wil Lutz kick),0,13
2,9:45,Rams,Greg Zuerlein 36 yard field goal,3,13
,0:23,Rams,Todd Gurley 6 yard rush (Greg Zuerlein kick),10,13
3,8:34,Saints,Taysom Hill 2 yard pass from Drew Brees (Wil Lutz kick),10,20
,3:06,Rams,Tyler Higbee 1 yard pass from Jared Goff (Greg Zuerlein kick),17,20
4,5:03,Rams,Greg Zuerlein 24 yard field goal,20,20
,1:41,Saints,Wil Lutz 31 yard field goal,20,23
,0:15,Rams,Greg Zuerlein 48 yard field goal,23,23
OT,11:43,Rams,Greg Zuerlein 57 yard field goal,26,23
