Unnamed: 0,LAR,NOR
First Downs,19,19
Rush-Yds-TDs,26-77-1,21-48-0
Cmp-Att-Yd-TD-INT,26-41-309-1-1,26-41-249-2-1
Sacked-Yards,1-8,2-7
Net Pass Yards,301,242
Total Yards,378,290
Fumbles-Lost,1-0,2-0
Turnovers,1,1
Penalties-Yards,7-64,3-20
Third Down Conv.,6-16,6-14
Fourth Down Conv.,1-1,0-0
Time of Possession,32:36,30:41
