Quarter,Time,Tm,Detail,ARI,CAR
2.0,8:44,Cardinals,Bill Gramatica 41 yard field goal,3,0
,1:58,Panthers,Isaac Byrd 31 yard pass from Rodney Peete (Shayne Graham kick),3,7
,0:16,Cardinals,Bill Gramatica 28 yard field goal,6,7
3.0,8:52,Panthers,Shayne Graham 32 yard field goal,6,10
,1:29,Panthers,Shayne Graham 48 yard field goal,6,13
4.0,2:38,Cardinals,Freddie Jones 15 yard pass from Jake Plummer (Bill Gramatica kick),13,13
,0:16,Cardinals,Bill Gramatica 50 yard field goal,16,13
