Unnamed: 0,STL,DAL
First Downs,13,24
Rush-Yds-TDs,21-70-1,34-294-2
Cmp-Att-Yd-TD-INT,20-33-196-0-1,14-24-166-2-0
Sacked-Yards,1-1,2-15
Net Pass Yards,195,151
Total Yards,265,445
Fumbles-Lost,2-1,1-1
Turnovers,2,1
Penalties-Yards,4-16,6-30
Third Down Conv.,5-13,3-8
Fourth Down Conv.,0-2,0-0
Time of Possession,26:04,33:56
