Quarter,Time,Tm,Detail,STL,DAL
1.0,9:33,Cowboys,DeMarco Murray 91 yard rush (Dan Bailey kick),0,7
2.0,12:25,Cowboys,Jason Witten 1 yard pass from Tony Romo (Dan Bailey kick),0,14
,7:58,Rams,Steven Jackson 6 yard rush (Josh Brown kick),7,14
,0:15,Cowboys,Dan Bailey 30 yard field goal,7,17
3.0,5:32,Cowboys,Dan Bailey 51 yard field goal,7,20
4.0,9:22,Cowboys,Phillip Tanner 6 yard rush (Dan Bailey kick),7,27
,4:07,Cowboys,Dez Bryant 20 yard pass from Tony Romo (Dan Bailey kick),7,34
