Quarter,Time,Down,ToGo,Location,STL,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss, Rams to receive the opening kickoff.",,
1,15:00,,,DAL 35,0,0,"Dan Bailey kicks off 67 yards, returned by Quinn Porter for 26 yards (tackle by John Phillips)",0.000,0.540
1,14:53,1,10,STL 24,0,0,Steven Jackson left tackle for 1 yard (tackle by DeMarcus Ware),0.540,0.130
1,14:23,2,9,STL 25,0,0,Steven Jackson up the middle for 2 yards (tackle by Marcus R. Spears),0.130,-0.300
1,13:51,3,7,STL 27,0,0,A.J. Feeley pass complete short left to Greg Salas for 12 yards (tackle by Frank Walker),-0.300,1.530
1,13:19,1,10,STL 39,0,0,Steven Jackson left tackle for -3 yards (tackle by Jay Ratliff),1.530,0.580
1,12:43,2,13,STL 36,0,0,Steven Jackson left tackle for 3 yards (tackle by Sean Lee and Keith Brooking),0.580,0.300
1,12:05,3,10,STL 39,0,0,A.J. Feeley pass incomplete deep left intended for Danario Alexander,0.300,-0.780
1,12:00,4,10,STL 39,0,0,Donnie Jones punts 59 yards,-0.780,0.380
1,11:41,1,10,DAL 2,0,0,Tashard Choice left guard for 7 yards (tackle by Quintin Mikell),-0.380,-0.270
1,11:05,2,3,DAL 9,0,0,Tony Romo pass complete short middle to Jason Witten for 4 yards (tackle by James Laurinaitis),-0.270,-0.320
1,10:20,1,10,DAL 13,0,0,"Tony Romo pass incomplete short left intended for Tashard Choice. Penalty on Justin Bannan: Defensive Holding, 5 yards (no play)",-0.320,0.040
1,10:14,1,10,DAL 18,0,0,"Tashard Choice left end for 8 yards (tackle by Quintin Mikell). Penalty on Tony Fiammetta: Offensive Holding, 9 yards (no play)",0.040,-0.720
1,9:47,1,19,DAL 9,0,6,"DeMarco Murray up the middle for 91 yards, touchdown",-0.720,7.000
1,,,,STL 2,0,7,Dan Bailey kicks extra point good,0.000,0.000
1,,,,DAL 35,0,7,"Dan Bailey kicks off 74 yards, touchback",0.000,0.280
1,9:33,1,10,STL 20,0,7,A.J. Feeley pass complete short middle to Brandon Lloyd for 12 yards (tackle by Bradie James),0.280,1.070
1,8:57,1,10,STL 32,0,7,"Steven Jackson left tackle for 1 yard (tackle by Sean Lee). Penalty on DeMarcus Ware: Defensive Offside, 5 yards (no play)",1.070,1.800
1,8:26,1,5,STL 37,0,7,"Penalty on A.J. Feeley: Delay of Game, 5 yards (no play)",1.800,1.070
1,8:05,1,10,STL 32,0,7,A.J. Feeley pass complete short middle to Billy Bajema for 8 yards (tackle by Bradie James),1.070,1.610
1,7:32,2,2,STL 40,0,7,Steven Jackson right tackle for -1 yards (tackle by Abram Elam and Gerald Sensabaugh),1.610,0.760
1,6:54,3,3,STL 39,0,7,A.J. Feeley pass complete short right to Billy Bajema for 12 yards (tackle by Abram Elam),0.760,2.320
1,6:15,1,10,DAL 49,0,7,Steven Jackson left guard for 1 yard,2.320,1.920
1,5:36,2,9,DAL 48,0,7,Steven Jackson up the middle for 4 yards (tackle by Sean Lee and Keith Brooking),1.920,1.750
1,4:57,3,5,DAL 44,0,7,A.J. Feeley pass complete short right to Steven Jackson for -4 yards (tackle by Orlando Scandrick),1.750,0.070
1,4:19,4,9,DAL 48,0,7,"Donnie Jones punts 48 yards, touchback",0.070,-0.280
1,4:11,1,10,DAL 20,0,7,Tony Romo pass complete short right to Laurent Robinson for 8 yards (tackle by Josh Gordy),0.280,0.810
1,3:39,2,2,DAL 28,0,7,DeMarco Murray up the middle for no gain (tackle by Brady Poppinga and James Laurinaitis),0.810,0.100
1,3:04,3,2,DAL 28,0,7,Tony Romo pass incomplete short middle intended for DeMarco Murray (defended by Fred Robbins),0.100,-1.500
1,2:55,4,2,DAL 28,0,7,Mat McBriar punts 36 yards,-1.500,-1.330
1,2:50,1,10,STL 36,0,7,"A.J. Feeley pass incomplete short middle intended for Michael Hoomanawanui (defended by DeMarcus Ware). Penalty on Kenyon Coleman: Defensive Offside, 5 yards (no play)",1.330,2.060
1,2:46,1,5,STL 41,0,7,Steven Jackson up the middle for 1 yard (tackle by Bradie James),2.060,1.600
1,2:09,2,4,STL 42,0,7,A.J. Feeley pass complete short right to Danario Alexander for 3 yards (tackle by Abram Elam),1.600,1.290
1,1:29,3,1,STL 45,0,7,Steven Jackson right end for 5 yards (tackle by Bradie James and Gerald Sensabaugh),1.290,2.260
1,0:50,1,10,,0,7,"A.J. Feeley pass complete short right to Cadillac Williams for 13 yards (tackle by Abram Elam). Cadillac Williams fumbles (forced by Abram Elam), recovered by Abram Elam at DAL-37 and returned for 1 yards (tackle by Jason Brown)",2.260,-1.470
,,,,,,,"STL challenged the loose ball recovery ruling, and the play was upheld.",,
1,0:39,1,10,DAL 38,0,7,Tony Romo pass complete short right to Jason Witten for 18 yards (tackle by Justin King),1.470,2.650
Quarter,Time,Down,ToGo,Location,STL,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,STL 44,0,7,Tony Romo sacked by James Hall for -11 yards,2.650,0.630
2,14:23,2,21,DAL 45,0,7,Tony Romo pass complete deep middle to Dez Bryant for 34 yards (tackle by Al Harris and Josh Gordy),0.630,4.170
2,13:50,1,10,STL 21,0,7,Tony Romo pass complete short middle to Laurent Robinson for 17 yards (tackle by Al Harris),4.170,6.280
2,13:04,1,4,STL 4,0,7,Tony Romo pass incomplete short left intended for Dez Bryant,6.280,5.340
2,12:59,2,4,STL 4,0,7,DeMarco Murray up the middle for 3 yards (tackle by James Laurinaitis),5.340,5.170
2,12:29,3,1,STL 1,0,13,"Tony Romo pass complete short left to Jason Witten for 1 yard, touchdown",5.170,7.000
2,,,,STL 2,0,14,Dan Bailey kicks extra point good,0.000,0.000
2,,,,DAL 35,0,14,"Dan Bailey kicks off 69 yards, returned by Quinn Porter for 19 yards (tackle by Gerald Sensabaugh)",0.000,-0.220
2,12:17,1,10,STL 15,0,14,A.J. Feeley pass complete short left to Brandon Lloyd for 7 yards (tackle by Mike Jenkins),-0.220,0.350
2,11:39,2,3,STL 22,0,14,Steven Jackson up the middle for no gain (tackle by Anthony Spencer and Sean Lissemore),0.350,-0.510
2,11:05,3,3,STL 22,0,14,"Penalty on Jay Ratliff: Encroachment, 5 yards (no play)",-0.510,0.740
2,10:46,1,10,STL 27,0,14,A.J. Feeley pass complete short left to Brandon Lloyd for 4 yards (tackle by Mike Jenkins),0.740,0.740
2,10:10,2,6,STL 31,0,14,A.J. Feeley pass complete short right to Michael Hoomanawanui for 16 yards (tackle by Keith Brooking and Abram Elam),0.740,2.060
2,9:27,1,10,STL 47,0,14,A.J. Feeley pass incomplete short right intended for Brandon Lloyd (defended by Alan Ball),2.060,1.520
2,9:21,2,10,STL 47,0,14,A.J. Feeley pass complete short left to Brandon Lloyd for 7 yards (tackle by Alan Ball),1.520,1.750
2,8:45,3,3,DAL 46,0,14,Steven Jackson up the middle for 40 yards (tackle by Terence Newman),1.750,5.830
2,8:03,1,6,DAL 6,6,14,"Steven Jackson right tackle for 6 yards, touchdown",5.830,7.000
2,,,,DAL 2,7,14,Josh Brown kicks extra point good,0.000,0.000
2,,,,STL 35,7,14,"Josh Brown kicks off 73 yards, touchback",0.000,0.280
2,7:58,1,10,DAL 20,7,14,"Tony Romo pass incomplete deep right intended for Miles Austin. Penalty on Miles Austin: Offensive Pass Interference (Offsetting), Penalty on Darian Stewart: Unnecessary Roughness (Offsetting) (no play)",0.280,0.280
2,7:51,1,10,DAL 20,7,14,DeMarco Murray up the middle for 4 yards (tackle by Chris Chamberlain),0.280,0.270
