Quarter,Time,Tm,Detail,PIT,CIN
2.0,12:39,Steelers,Chris Boswell 41 yard field goal,3,0
,10:40,Bengals,Drew Sample 11 yard pass from Jake Browning (Evan McPherson kick),3,7
3.0,1:34,Steelers,Najee Harris 5 yard rush (Chris Boswell kick),10,7
4.0,8:03,Steelers,Chris Boswell 34 yard field goal,13,7
,2:51,Steelers,Chris Boswell 33 yard field goal,16,7
,2:04,Bengals,Evan McPherson 47 yard field goal,16,10
