Unnamed: 0,PIT,CIN
First Downs,22,10
Rush-Yds-TDs,33-153-1,11-25-0
Cmp-Att-Yd-TD-INT,24-33-278-0-0,19-26-227-1-1
Sacked-Yards,2-10,4-30
Net Pass Yards,268,197
Total Yards,421,222
Fumbles-Lost,1-1,1-0
Turnovers,1,1
Penalties-Yards,5-55,5-36
Third Down Conv.,8-17,2-10
Fourth Down Conv.,0-0,0-0
Time of Possession,37:17,22:43
