Unnamed: 0,BUF,DAL
First Downs,22,32
Rush-Yds-TDs,34-124-1,19-103-0
Cmp-Att-Yd-TD-INT,20-25-259-2-0,32-49-355-2-1
Sacked-Yards,4-27,4-32
Net Pass Yards,232,323
Total Yards,356,426
Fumbles-Lost,1-0,3-1
Turnovers,0,2
Penalties-Yards,7-53,5-66
Third Down Conv.,6-14,7-13
Fourth Down Conv.,2-2,1-3
Time of Possession,33:18,26:42
