Quarter,Time,Tm,Detail,BUF,DAL
1.0,10:34,Cowboys,Jason Witten 8 yard pass from Dak Prescott (Brett Maher kick),0,7
2.0,8:01,Bills,Cole Beasley 25 yard pass from Josh Allen (Stephen Hauschka kick),7,7
,1:52,Bills,Devin Singletary 28 yard pass from John Brown (Stephen Hauschka kick failed),13,7
3.0,10:47,Bills,Stephen Hauschka 41 yard field goal,16,7
,3:37,Bills,Josh Allen 15 yard rush (Stephen Hauschka kick),23,7
4.0,8:20,Bills,Stephen Hauschka 26 yard field goal,26,7
,4:01,Cowboys,Ventell Bryant 15 yard pass from Dak Prescott (Jason Witten pass from Dak Prescott),26,15
