Quarter,Time,Down,ToGo,Location,CAR,PIT,Detail,EPB,EPA
1,7:22,1,10,CAR 45,0,0,Ben Roethlisberger pass complete deep left to Mike Wallace for 15 yards,2.590,3.580
1,6:56,1,10,CAR 30,0,0,Rashard Mendenhall left guard for -1 yards (tackle by Tyler Brayton),3.580,2.900
1,6:14,2,11,CAR 31,0,0,Ben Roethlisberger pass complete short middle to Heath Miller for 20 yards (tackle by Charles Godfrey),2.900,4.840
1,5:30,1,10,CAR 11,0,0,Rashard Mendenhall middle for -5 yards (tackle by Derek Landri),4.840,3.440
1,4:47,2,15,CAR 16,0,0,Ben Roethlisberger pass complete short middle to Heath Miller for 8 yards (tackle by Charles Godfrey),3.440,3.760
1,4:00,3,7,CAR 8,0,0,Ben Roethlisberger pass incomplete short right intended for Emmanuel Sanders (defended by Charles Godfrey),3.760,2.960
,,,,,,,"CAR challenged the pass completion ruling, and the original play was overturned.",,
1,3:51,4,7,CAR 8,0,3,Shaun Suisham 26 yard field goal good,2.960,3.000
1,,,,PIT 30,0,3,"Shaun Suisham kicks off 63 yards, returned by Mike Goodson for 36 yards (tackle by Emmanuel Sanders)",0.000,1.800
1,3:40,1,10,CAR 43,0,3,Jonathan Stewart right tackle for 2 yards (tackle by James Harrison and Brett Keisel),1.800,1.520
1,3:07,2,8,CAR 45,0,3,Jonathan Stewart left tackle for 3 yards (tackle by Ryan Mundy and Lawrence Timmons),1.520,1.220
1,2:28,3,5,CAR 48,0,3,Jimmy Clausen pass complete short left to Mike Goodson for 15 yards (tackle by Ryan Mundy),1.220,3.120
1,1:49,1,10,PIT 37,0,3,Jonathan Stewart right tackle for 2 yards (tackle by Ryan Clark),3.120,2.840
1,1:11,2,8,PIT 35,0,3,Jimmy Clausen pass complete short left to Jeff King for 6 yards (tackle by James Farrior),2.840,2.940
1,0:37,3,2,PIT 29,0,3,Mike Goodson left guard for -3 yards (tackle by James Farrior and James Harrison),2.940,1.260
Quarter,Time,Down,ToGo,Location,CAR,PIT,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,5,PIT 32,0,3,Jimmy Clausen sacked by James Farrior for -4 yards,1.260,-1.330
2,14:56,1,10,PIT 36,0,3,Rashard Mendenhall left tackle for no gain (tackle by Charles Godfrey),1.330,0.790
2,14:17,2,10,PIT 36,0,3,Ben Roethlisberger pass complete short left to Rashard Mendenhall for 18 yards (tackle by Richard Marshall),0.790,2.520
2,13:36,1,10,CAR 46,0,3,Rashard Mendenhall right tackle for 2 yards (tackle by Nic Harris),2.520,2.250
2,12:56,2,8,CAR 44,0,3,"Mewelde Moore left end for no gain (tackle by Richard Marshall). Penalty on Chris Kemoeatu: Offensive Holding, 10 yards (no play)",2.250,0.900
2,12:26,2,18,PIT 46,0,3,Ben Roethlisberger pass incomplete short middle intended for Hines Ward,0.900,0.230
2,12:19,3,18,PIT 46,0,3,Ben Roethlisberger sacked by Charles Johnson for -12 yards,0.230,-1.110
2,12:06,4,30,PIT 34,0,3,"Jeremy Kapinos punts 52 yards, returned by Captain Munnerlyn for -1 yards (tackle by Stevenson Sylvester)",-1.110,0.320
2,11:53,1,10,CAR 13,0,3,Jimmy Clausen pass incomplete deep right intended for David Gettis is intercepted by Bryant McFadden at PIT-45 and returned for -3 yards,-0.320,-1.730
2,11:45,1,10,PIT 42,0,3,Ben Roethlisberger pass complete short middle to Heath Miller for 12 yards (tackle by Nic Harris),1.730,2.520
2,11:02,1,10,CAR 46,0,3,Rashard Mendenhall middle for 3 yards (tackle by James Anderson),2.520,2.380
2,10:23,2,7,CAR 43,0,9,"Ben Roethlisberger pass complete short left to Mike Wallace for 43 yards, touchdown",2.380,7.000
2,,,,CAR 2,0,10,Shaun Suisham kicks extra point good,0.000,0.000
2,,,,PIT 30,0,10,"Shaun Suisham kicks off 57 yards, returned by Mike Goodson for 14 yards (tackle by Anthony Madison)",0.000,0.740
2,10:09,1,10,CAR 27,0,10,Jonathan Stewart left tackle for 2 yards (tackle by Brett Keisel and James Harrison),0.740,0.470
2,9:35,2,8,CAR 29,0,10,Jimmy Clausen pass incomplete deep right intended for Steve Smith. Penalty on Steve Smith: Illegal Formation (Declined),0.470,-0.230
2,9:29,3,8,CAR 29,0,10,Jimmy Clausen pass incomplete short middle intended for Steve Smith,-0.230,-1.440
2,9:24,4,8,CAR 29,0,10,"Jason Baker punts 33 yards, returned by Antonio Brown for 9 yards (tackle by Gary Barnidge)",-1.440,-2.060
2,9:14,1,10,PIT 47,0,10,Ben Roethlisberger pass complete short left to Hines Ward for no gain,2.060,1.520
2,8:37,2,10,PIT 47,0,10,Ben Roethlisberger pass complete short middle to Hines Ward for 15 yards (tackle by Nic Harris),1.520,3.050
2,8:00,1,10,CAR 38,0,10,"Ben Roethlisberger for no gain. Ben Roethlisberger fumbles, recovered by Derek Landri at CAR-44 (tackle by Rashard Mendenhall)",3.050,-1.860
2,7:55,1,10,CAR 44,0,10,Jonathan Stewart middle for 2 yards (tackle by Evander Hood and Casey Hampton),1.860,1.590
2,7:20,2,8,CAR 46,0,10,Jimmy Clausen pass incomplete short right intended for Steve Smith,1.590,0.890
2,7:17,,,,0,10,Timeout #1 by Carolina Panthers,0.000,0.890
2,7:17,3,8,CAR 46,0,10,"Jimmy Clausen pass complete short left to Steve Smith for 9 yards (tackle by William Gay). Penalty on Mackenzy Bernadeau: Offensive Holding, 10 yards (no play)",0.890,-0.430
2,6:50,3,18,CAR 36,0,10,Jimmy Clausen pass incomplete short right intended for Brandon LaFell,-0.430,-0.980
2,6:47,4,18,CAR 36,0,10,"Jason Baker punts 43 yards, returned by Antwaan Randle El for 7 yards (tackle by Abdul Hodge)",-0.980,-0.810
2,6:36,1,10,PIT 28,0,10,Ben Roethlisberger pass complete short right to Emmanuel Sanders for 4 yards (tackle by Jon Beason),0.810,0.800
2,6:06,2,6,PIT 32,0,10,Isaac Redman left guard for 12 yards (tackle by Captain Munnerlyn and Richard Marshall),0.800,1.860
2,6:06,1,10,PIT 44,0,10,"Ben Roethlisberger pass incomplete short left intended for Emmanuel Sanders. Penalty on Flozell Adams: Face Mask (15 Yards), 15 yards (no play)",1.860,0.870
2,6:06,1,25,PIT 29,0,10,Ben Roethlisberger pass complete short right to Isaac Redman for 2 yards (tackle by Andre Neblett),0.870,-0.440
2,4:29,2,23,PIT 31,0,10,"Penalty on Charles Johnson: Neutral Zone Infraction, 5 yards (no play)",-0.440,0.240
2,4:02,2,18,PIT 36,0,10,Ben Roethlisberger pass complete deep middle to Emmanuel Sanders for 35 yards (tackle by Charles Godfrey),0.240,3.640
2,3:21,1,10,CAR 29,0,10,Ben Roethlisberger pass complete short middle to Heath Miller for 19 yards (tackle by Jon Beason and Sherrod Martin),3.640,4.910
2,2:45,1,10,CAR 10,0,10,Mewelde Moore middle for 2 yards (tackle by James Anderson),4.910,4.570
2,2:45,2,8,CAR 8,0,10,Ben Roethlisberger pass complete short left to Emmanuel Sanders for 7 yards (tackle by Robert McClain),4.570,5.170
2,2:00,3,1,CAR 1,0,16,"Rashard Mendenhall left guard for 1 yard, touchdown",5.170,7.000
2,,,,CAR 2,0,17,Shaun Suisham kicks extra point good,0.000,0.000
2,,,,PIT 30,0,17,"Shaun Suisham kicks off 59 yards, returned by Mike Goodson for 13 yards (tackle by William Gay)",0.000,0.540
2,1:49,1,10,CAR 24,0,17,Jimmy Clausen pass complete short right to Steve Smith for 7 yards (tackle by Ike Taylor),0.540,0.940
2,1:44,2,3,CAR 31,0,17,Jimmy Clausen pass incomplete short middle intended for Dante Rosario,0.940,0.230
2,1:40,3,3,CAR 31,0,17,Jimmy Clausen pass incomplete short left intended for Brandon LaFell (defended by Ike Taylor),0.230,-1.310
2,1:35,4,3,CAR 31,0,17,Jason Baker punts 24 yards,-1.310,-1.930
2,1:26,1,10,PIT 45,0,17,Ben Roethlisberger pass incomplete deep left intended for Hines Ward,1.930,1.380
2,1:21,2,10,PIT 45,0,17,Ben Roethlisberger pass complete deep left to Mike Wallace for 40 yards (tackle by Robert McClain),1.380,4.580
2,1:12,,,,0,17,Timeout #1 by Pittsburgh Steelers,0.000,4.580
2,1:12,1,10,CAR 15,0,17,Ben Roethlisberger pass incomplete short middle intended for Heath Miller,4.580,3.950
2,1:07,2,10,CAR 15,0,17,Ben Roethlisberger pass incomplete short middle intended for Mike Wallace,3.950,3.100
2,1:03,,,,0,17,Timeout #2 by Pittsburgh Steelers,0.000,3.100
2,1:03,3,10,CAR 15,0,17,Ben Roethlisberger pass complete short left to Emmanuel Sanders for 8 yards (tackle by Richard Marshall),3.100,3.000
2,0:42,,,,0,17,Timeout #2 by Carolina Panthers,0.000,3.000
2,0:42,4,2,CAR 7,0,17,"Penalty on Ben Roethlisberger: Delay of Game, 5 yards (no play)",3.000,2.630
2,0:42,4,7,CAR 12,0,20,Shaun Suisham 29 yard field goal good,2.630,3.000
2,,,,PIT 30,0,20,"Shaun Suisham kicks off 68 yards, returned by Mike Goodson for 26 yards (tackle by Keyaron Fox). Mike Goodson fumbles (forced by Keyaron Fox), recovered by Will Allen at CAR-28 (tackle by Jeff King)",0.000,-3.710
2,0:32,1,10,CAR 28,0,20,Ben Roethlisberger pass complete short middle to Antonio Brown for 13 yards (tackle by James Anderson and Richard Marshall),3.710,4.580
2,0:32,1,10,CAR 15,0,20,Ben Roethlisberger spiked the ball,4.580,3.950
2,0:17,2,10,CAR 15,0,20,Ben Roethlisberger pass incomplete short left intended for Hines Ward,3.950,3.100
2,0:09,3,10,CAR 15,0,20,Ben Roethlisberger sacked by Derek Landri for -8 yards,3.100,1.930
2,0:02,,,,0,20,Timeout #3 by Pittsburgh Steelers,0.000,1.930
2,0:02,4,18,CAR 23,0,20,Shaun Suisham 41 yard field goal no good,1.930,0.940
Quarter,Time,Down,ToGo,Location,CAR,PIT,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CAR 30,0,20,"Rhys Lloyd kicks off 61 yards, returned by Antonio Brown for 18 yards (tackle by Marcus Hudson)",0.000,0.740
3,14:54,1,10,PIT 27,0,20,Rashard Mendenhall right guard for 2 yards (tackle by Tyler Brayton and Andre Neblett),0.740,0.470
3,14:17,2,8,PIT 29,0,20,Ben Roethlisberger pass complete deep right to Hines Ward for 23 yards (tackle by Captain Munnerlyn),0.470,2.390
3,13:39,1,10,CAR 48,0,20,Rashard Mendenhall left end for 5 yards (tackle by Jon Beason),2.390,2.520
3,12:53,2,5,CAR 43,0,20,"Penalty on Flozell Adams: False Start (Declined), Penalty on Nic Harris: Unnecessary Roughness, 15 yards",2.520,3.710
3,12:36,1,10,CAR 28,0,20,Ben Roethlisberger pass complete short left to Heath Miller for 14 yards,3.710,4.650
3,12:06,1,10,CAR 14,0,20,Rashard Mendenhall left guard for 6 yards (tackle by Jon Beason and Sherrod Martin),4.650,5.090
3,11:28,2,4,CAR 8,0,20,Ben Roethlisberger pass incomplete short middle intended for Hines Ward,5.090,4.280
3,11:23,3,4,CAR 8,0,20,Ben Roethlisberger left guard for 3 yards (tackle by Richard Marshall),4.280,3.030
3,10:45,,,,0,20,Timeout #1 by Carolina Panthers,0.000,3.030
3,10:45,4,1,CAR 5,0,20,Ben Roethlisberger pass complete short right to Rashard Mendenhall for no gain,3.030,0.380
,,,,,,,"PIT challenged the first down ruling, and the play was upheld.",,
3,10:36,1,10,CAR 5,0,20,Jonathan Stewart left guard for 3 yards (tackle by James Farrior and Lawrence Timmons),-0.380,-0.560
3,9:59,2,7,CAR 8,0,20,Jonathan Stewart right guard for 3 yards (tackle by Lawrence Timmons and Ryan Clark),-0.560,-0.720
3,9:18,,,,0,20,Timeout #2 by Carolina Panthers,0.000,-0.720
3,9:18,3,4,CAR 11,0,20,Jimmy Clausen sacked by James Harrison and LaMarr Woodley for -6 yards,-0.720,-2.490
3,8:56,4,10,CAR 5,0,20,"Jason Baker punts 30 yards, returned by Antonio Brown for no gain",-2.490,-3.250
3,8:48,1,10,CAR 35,0,20,Rashard Mendenhall left guard for 1 yard (tackle by Charles Johnson),3.250,2.840
3,8:11,2,9,CAR 34,0,20,Rashard Mendenhall middle for 12 yards (tackle by Nic Harris),2.840,4.110
3,7:34,1,10,CAR 22,0,20,Ben Roethlisberger pass incomplete short right intended for Hines Ward,4.110,3.560
3,7:30,2,10,CAR 22,0,20,Rashard Mendenhall left tackle for -1 yards (tackle by Sherrod Martin and Derek Landri),3.560,2.740
3,6:42,3,11,CAR 23,0,20,"Ben Roethlisberger pass incomplete deep right intended for Hines Ward (defended by Charles Godfrey). Penalty on CAR: Defensive 12 On-field (Declined), Penalty on Richard Marshall: Defensive Pass Interfere, 22 yards (no play)",2.740,6.970
3,6:35,1,1,CAR 1,0,20,Rashard Mendenhall middle for no gain (tackle by James Anderson and Jordan Senn),6.970,5.910
3,5:53,2,1,CAR 1,0,20,Rashard Mendenhall middle for no gain (tackle by Charles Johnson),5.910,5.170
3,5:15,3,1,CAR 1,0,26,"Ben Roethlisberger middle for 1 yard, touchdown",5.170,7.000
3,,,,CAR 2,0,27,Shaun Suisham kicks extra point good,0.000,0.000
3,,,,PIT 30,0,27,"Shaun Suisham kicks off 60 yards, returned by Mike Goodson for 22 yards (tackle by Stevenson Sylvester)",0.000,1.070
3,4:58,1,10,CAR 32,0,27,Jimmy Clausen sacked by Brett Keisel for -10 yards,1.070,-0.820
3,4:28,2,20,CAR 22,0,27,Jimmy Clausen pass incomplete short left intended for Dante Rosario (defended by Brett Keisel),-0.820,-1.480
3,4:23,3,20,CAR 22,0,27,Jimmy Clausen pass complete short middle to Dante Rosario for 3 yards (tackle by James Farrior),-1.480,-1.700
3,3:57,4,17,CAR 25,0,27,"Jason Baker punts 34 yards, returned by Antonio Brown for -2 yards (tackle by Marcus Hudson)",-1.700,-1.530
3,3:44,1,10,PIT 39,0,27,Rashard Mendenhall right tackle for 1 yard (tackle by Greg Hardy and Nic Harris),1.530,1.120
3,3:07,2,9,PIT 40,0,27,"Rashard Mendenhall right tackle for 3 yards (tackle by Greg Hardy). Penalty on Matt Spaeth: Offensive Holding, 10 yards (no play)",1.120,-0.230
3,2:37,2,19,PIT 30,0,27,Ben Roethlisberger pass incomplete short left intended for Mike Wallace,-0.230,-0.890
3,2:31,3,19,PIT 30,0,27,Ben Roethlisberger pass complete short middle to Mewelde Moore for 11 yards (tackle by Richard Marshall),-0.890,-0.650
3,1:47,4,8,PIT 41,0,27,"Jeremy Kapinos punts 44 yards, fair catch by Captain Munnerlyn",-0.650,0.220
3,1:38,1,10,CAR 15,0,27,Jonathan Stewart right tackle for 5 yards (tackle by Ryan Clark and Larry Foote),-0.220,0.080
3,1:00,2,5,CAR 20,0,27,Jimmy Clausen pass complete short right to Jeff King for 9 yards (tackle by Bryant McFadden and Ryan Clark),0.080,0.870
3,0:26,1,10,CAR 29,0,27,Jimmy Clausen pass incomplete short left intended for Steve Smith (defended by James Harrison),0.870,0.330
3,0:24,2,10,CAR 29,0,27,Jonathan Stewart right guard for 11 yards (tackle by Ryan Mundy and Lawrence Timmons),0.330,1.600
Quarter,Time,Down,ToGo,Location,CAR,PIT,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,CAR 40,0,27,Jonathan Stewart middle for 1 yard (tackle by Ryan Mundy and James Harrison),1.600,1.190
4,14:26,2,9,CAR 41,0,27,Jimmy Clausen pass complete short left to Steve Smith for 5 yards (tackle by Ike Taylor),1.190,1.160
4,13:44,3,4,CAR 46,0,27,Jimmy Clausen pass incomplete short right intended for Dante Rosario (defended by LaMarr Woodley),1.160,-0.320
,,,,,,,"PIT challenged the pass completion ruling, and the original play was overturned.",,
4,13:40,4,4,CAR 46,0,27,"Jason Baker punts 45 yards, returned by Antonio Brown for -4 yards (tackle by Abdul Hodge)",-0.320,0.380
4,13:26,1,10,PIT 5,0,27,Rashard Mendenhall middle for 1 yard (tackle by James Anderson),-0.380,-0.710
4,12:45,2,9,PIT 6,0,27,Rashard Mendenhall right tackle for 3 yards (tackle by Nic Harris),-0.710,-0.950
4,12:00,3,6,PIT 9,0,27,Ben Roethlisberger sacked by Charles Johnson for -7 yards,-0.950,-2.490
4,11:32,4,13,PIT 2,0,27,"Jeremy Kapinos punts 40 yards, returned by Captain Munnerlyn for 19 yards (tackle by Will Allen)",-2.490,-4.040
4,11:15,1,10,PIT 23,0,27,Jonathan Stewart middle for 9 yards (tackle by Ryan Clark and Larry Foote),4.040,4.950
4,10:43,2,1,PIT 14,0,27,Jonathan Stewart middle for 3 yards (tackle by Brett Keisel),4.950,4.840
4,10:07,1,10,PIT 11,0,27,Jimmy Clausen pass incomplete short right intended for Dante Rosario (defended by Ryan Mundy),4.840,4.140
4,9:59,2,10,PIT 11,0,27,Jonathan Stewart left guard for 4 yards (tackle by Ryan Mundy),4.140,3.980
4,9:23,3,6,PIT 7,0,27,Jonathan Stewart right guard for -2 yards (tackle by LaMarr Woodley and Lawrence Timmons),3.980,2.830
4,8:32,4,8,PIT 9,3,27,John Kasay 27 yard field goal good,2.830,3.000
4,,,,CAR 30,3,27,"Rhys Lloyd kicks off 64 yards, returned by Antonio Brown for 27 yards (tackle by Robert McClain)",0.000,1.140
4,8:21,1,10,PIT 33,3,27,Mewelde Moore left tackle for 2 yards (tackle by Richard Marshall),1.140,0.860
4,7:44,2,8,PIT 35,3,27,Mewelde Moore left guard for 1 yard (tackle by Richard Marshall),0.860,0.300
4,7:02,3,7,PIT 36,3,27,Ben Roethlisberger pass complete short middle to Antonio Brown for 7 yards (tackle by C.J. Wilson),0.300,1.800
4,6:19,1,10,PIT 43,3,27,"Ben Roethlisberger for no gain. Ben Roethlisberger fumbles, recovered by Nic Harris at PIT-37 (tackle by Isaac Redman)",1.800,-3.120
4,6:14,1,10,PIT 37,3,27,Jimmy Clausen pass incomplete deep right intended for Steve Smith,3.120,2.570
4,6:07,2,10,PIT 37,3,27,Jonathan Stewart middle for 4 yards (tackle by Chris Hoke),2.570,2.410
4,5:29,3,6,PIT 33,3,27,Jimmy Clausen sacked by Evander Hood for -7 yards,2.410,0.590
4,4:52,4,13,PIT 40,3,27,"Jason Baker punts 31 yards, fair catch by Antwaan Randle El",0.590,0.380
4,4:44,1,10,PIT 9,3,27,Mewelde Moore left guard for no gain (tackle by Andre Neblett),-0.380,-0.780
4,4:10,2,10,PIT 9,3,27,Isaac Redman right guard for 4 yards (tackle by Captain Munnerlyn),-0.780,-0.950
4,3:29,3,6,PIT 13,3,27,Isaac Redman left end for 23 yards (tackle by Greg Hardy),-0.950,1.330
4,3:19,1,10,PIT 36,3,27,Isaac Redman middle for 4 yards (tackle by Nic Harris),1.330,1.330
4,2:37,2,6,PIT 40,3,27,Ben Roethlisberger pass complete short left to Mike Wallace for 6 yards (tackle by Richard Marshall),1.330,1.990
4,1:58,1,10,PIT 46,3,27,Ben Roethlisberger kneels for -1 yards,1.990,1.320
4,1:19,2,11,PIT 45,3,27,Ben Roethlisberger kneels for no gain,1.320,0.630
4,0:39,3,11,PIT 45,3,27,Ben Roethlisberger kneels for -1 yards,0.630,-0.460
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
