Unnamed: 0,CAR,PIT
First Downs,7,22
Rush-Yds-TDs,22-74-0,33-115-2
Cmp-Att-Yd-TD-INT,10-23-72-0-1,22-32-320-1-0
Sacked-Yards,4-27,3-27
Net Pass Yards,45,293
Total Yards,119,408
Fumbles-Lost,1-1,2-2
Turnovers,2,2
Penalties-Yards,6-62,4-40
Third Down Conv.,3-13,4-12
Fourth Down Conv.,0-1,0-1
Time of Possession,24:36,35:24
