#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,LVR 33,9,4:10,61,Field Goal
2,1,9:11,LVR 24,5,2:27,12,Punt
3,1,6:44,LAC 23,6,3:30,23,Touchdown
4,2,12:42,LVR 28,5,3:48,29,Punt
5,2,1:52,LVR 25,7,1:15,75,Touchdown
6,2,0:10,LVR 36,1,0:10,-1,End of Half
7,3,11:42,LVR 41,3,1:00,2,Punt
8,3,8:52,LAC 16,4,0:49,4,Field Goal
9,3,6:31,LVR 17,13,7:17,83,Touchdown
10,4,12:55,LVR 36,8,4:32,30,Field Goal
11,4,4:28,LVR 25,3,2:22,-6,Punt
12,5,10:00,LVR 25,7,2:51,53,Field Goal
13,5,4:30,LVR 25,8,4:30,46,Field Goal
