Quarter,Time,Tm,Detail,LAC,LVR
1,10:50,Raiders,Daniel Carlson 24 yard field goal,0,3
,3:14,Raiders,Hunter Renfrow 12 yard pass from Derek Carr (Daniel Carlson kick),0,10
2,12:42,Chargers,Austin Ekeler 14 yard rush (Dustin Hopkins kick),7,10
,1:52,Chargers,Austin Ekeler 14 yard pass from Justin Herbert (Dustin Hopkins kick),14,10
,0:37,Raiders,Josh Jacobs 1 yard rush (Daniel Carlson kick),14,17
3,8:03,Raiders,Daniel Carlson 31 yard field goal,14,20
4,14:14,Raiders,Hunter Renfrow 2 yard pass from Derek Carr (pass failed),14,26
,8:23,Raiders,Daniel Carlson 52 yard field goal,14,29
,4:28,Chargers,Josh Palmer 23 yard pass from Justin Herbert (Austin Ekeler pass from Justin Herbert),22,29
,0:00,Chargers,Mike Williams 12 yard pass from Justin Herbert (Dustin Hopkins kick),29,29
OT,7:09,Raiders,Daniel Carlson 40 yard field goal,29,32
,4:30,Chargers,Dustin Hopkins 41 yard field goal,32,32
,0:00,Raiders,Daniel Carlson 47 yard field goal,32,35
