Unnamed: 0,LAC,LVR
First Downs,27,24
Rush-Yds-TDs,21-85-1,34-174-1
Cmp-Att-Yd-TD-INT,34-64-383-3-1,21-37-190-2-0
Sacked-Yards,3-28,3-18
Net Pass Yards,355,172
Total Yards,440,346
Fumbles-Lost,1-1,2-0
Turnovers,2,0
Penalties-Yards,10-108,4-38
Third Down Conv.,4-18,8-17
Fourth Down Conv.,6-7,1-1
Time of Possession,31:19,38:41
