Quarter,Time,Tm,Detail,SFO,ARI
1.0,10:37,49ers,Phil Dawson 27 yard field goal,3,0
,8:33,49ers,Anquan Boldin 4 yard pass from Colin Kaepernick (Phil Dawson kick),10,0
,0:52,49ers,Vernon Davis 3 yard pass from Colin Kaepernick (Phil Dawson kick),17,0
2.0,4:46,Cardinals,Jake Ballard 1 yard pass from Carson Palmer (Jay Feely kick),17,7
4.0,14:47,Cardinals,Jay Feely 49 yard field goal,17,10
,3:20,Cardinals,Andre Roberts 34 yard pass from Carson Palmer (Jay Feely kick),17,17
,1:45,49ers,Phil Dawson 56 yard field goal,20,17
,0:29,Cardinals,Jay Feely 43 yard field goal,20,20
,0:00,49ers,Phil Dawson 40 yard field goal,23,20
